"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1993,10180,NA,NA,NA,NA,NA
1994,18740,NA,513,79,469,53
1995,9441,6227,758,91,640,38
1996,13550,2002,707,89,591,63
1997,9155,9964,450,69,404,29
1998,6158,4769,574,27,502,21
1999,10230,2614,254,95,226,63
2000,19530,3170,313,47,271,6
2001,3182,11980,312,38,277,30
2002,17850,1243,573,22,546,20
2003,13850,10120,226,57,225,38
2004,23920,7833,1117,64,1021,53
2005,14380,10750,453,130,417,99
2006,15530,7147,889,107,815,75
2007,24850,7546,485,94,433,80
2008,21310,10520,286,88,273,73
2009,17450,13680,263,117,256,102
2010,21340,10550,765,66,697,61
2011,33150,8847,385,215,352,192
2012,30930,8148,383,148,347,116
2013,25050,8303,604,105,572,96
2014,25550,10250,687,137,629,123
2015,43500,6609,598,176,524,140
2016,20350,9770,619,87,494,68
2017,23900,6230,951,142,776,124
2018,16150,4894,301,150,281,125
2019,46010,5102,229,46,210,35
