"Année","Tacon 0+","Smolts","1HM (retours tot.)","PHM (retours tot.)","1HM (échappement)","PHM (échappement)"
1993,10180,NA,NA,NA,NA,NA
1994,19000,NA,496,76,452,49
1995,9766,6231,754,94,634,39
1996,13990,2003,684,87,567,61
1997,9507,9965,451,72,405,30
1998,6262,4772,561,28,489,22
1999,10210,2613,257,102,229,69
2000,19940,3174,311,47,268,5
2001,3157,11980,309,40,274,31
2002,18235,1244,587,23,560,22
2003,14400,10120,227,58,226,38
2004,24310,7831,1121,64,1024,52
2005,14810,10760,456,128,420,96
2006,15920,7144,891,103,818,72
2007,25230,7549,484,93,432,79
2008,21570,10530,290,87,276,72
2009,17880,13690,269,117,262,102
2010,21900,10540,769,67,701,62
2011,33915,8829,388,216,354,193
2012,31200,8151,387,145,351,113
2013,25540,8291,610,106,578,98
2014,26040,10250,690,137,632,123
2015,43885,6609,600,174,524,138
2016,20690,9771,624,87,494,68
2017,24270,6232,956,142,775,124
2018,16480,4893,306,151,286,126
2019,46400,5101,233,45,214,33
2020,14560,5053,441,44,434,38
