"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)"
1982,NA,3581,NA,NA
1983,NA,3622,NA,NA
1984,NA,2693,61,42
1985,NA,4568,100,30
1986,NA,2002,172,35
1987,NA,1643,132,40
1988,NA,NA,96,29
1989,NA,NA,173,39
1990,NA,NA,70,48
1991,NA,NA,160,27
1992,NA,1705,134,43
1993,NA,1735,46,26
1994,NA,2457,44,16
1995,NA,1703,114,7
1996,NA,2132,35,27
1997,NA,6293,31,13
1998,NA,1675,225,14
1999,NA,805,28,55
2000,NA,1626,57,12
2001,NA,NA,89,16
2002,NA,1822,107,31
2003,NA,2962,27,21
2004,NA,7615,82,14
2005,NA,5240,260,49
2006,NA,2751,106,119
2007,NA,5511,74,21
2008,NA,6617,130,12
2009,NA,1139,85,47
2010,NA,2994,136,45
2011,NA,6416,134,34
2012,NA,6396,129,35
2013,NA,1917,133,74
2014,NA,2668,75,53
2015,NA,7576,153,47
2016,NA,7797,232,28
2017,NA,1485,315,63
2018,NA,4408,134,75
2019,NA,6721,136,31
2020,NA,1615,250,43
2021,NA,1672,NA,NA
