"Année","Tacon 0+","Smolts (tous)","1HM (échappement)","PHM (échappement)"
1982,NA,3607,NA,NA
1983,NA,3707,NA,NA
1984,NA,2786,61,41
1985,NA,4639,99,31
1986,NA,2004,171,34
1987,NA,1721,132,40
1988,NA,NA,105,34
1989,NA,NA,174,42
1990,NA,NA,78,51
1991,NA,NA,166,29
1992,NA,1797,135,43
1993,NA,1737,47,26
1994,NA,2455,45,18
1995,NA,1893,109,7
1996,NA,2198,35,26
1997,NA,6294,31,13
1998,NA,1674,225,14
1999,NA,824,29,57
2000,NA,1657,57,12
2001,NA,NA,89,16
2002,NA,1926,107,32
2003,NA,2972,33,24
2004,NA,7613,84,15
2005,NA,5242,262,49
2006,NA,2757,106,117
2007,NA,5514,72,20
2008,NA,6616,128,12
2009,NA,1149,84,47
2010,NA,3010,135,44
2011,NA,6425,135,34
2012,NA,6401,128,35
2013,NA,1935,131,72
2014,NA,2717,74,52
2015,NA,7592,150,47
2016,NA,7795,227,28
2017,NA,1490,316,63
2018,NA,4484,135,79
2019,NA,6743,143,32
2020,NA,1746,240,44
2021,NA,1726,131,34
2022,NA,2584,38,43
