"Smolt year","Smolts","adults","global return rate (%)","1SW return rate (%)","MSW return rate (%)"
"1982","3807",NA,NA,NA,"0.89"
"1983","3847","82","2.13","1.51","0.62"
"1984","2969","124","4.18","3.27","0.91"
"1985","4510","196","4.35","3.61","0.73"
"1986","1979","145","7.33","6.32","1.01"
"1987","2872","113","3.93","2.89","1.04"
"1988",NA,"196",NA,NA,NA
"1989",NA,"90",NA,NA,NA
"1990",NA,"196",NA,NA,NA
"1991",NA,"153",NA,NA,NA
"1992","2023","52","2.57","1.98","0.59"
"1993","1771","42","2.37","2.15","0.23"
"1994","2463","113","4.59","3.69","0.89"
"1995","557","42","7.54","5.39","2.15"
"1996","1549","41","2.65","1.81","0.84"
"1997","6244","256","4.1","3.46","0.64"
"1998","1637","29","1.77","1.22","0.55"
"1999","641","25","3.9","2.96","0.94"
"2000","1816","107","5.89","4.41","1.49"
"2001",NA,"118",NA,NA,NA
"2002","640","40","6.25","4.22","2.03"
"2003","2984","126","4.22","2.71","1.51"
"2004","7555","366","4.84","3.4","1.44"
"2005","5233","118","2.25","1.93","0.32"
"2006","2707","72","2.66","2.4","0.26"
"2007","5456","158","2.9","2.16","0.73"
"2008","6627","120","1.81","1.24","0.57"
"2009","1144","158","13.81","11.36","2.45"
"2010","2943","162","5.5","4.52","0.99"
"2011","6411","186","2.9","1.9","1"
"2012","6395","165","2.58","1.92","0.66"
"2013","1937","112","5.78","3.72","2.07"
"2014","2802","164","5.85","5.1","0.75"
"2015","7584","272","3.59","2.83","0.75"
"2016","7770","370","4.76","3.99","0.77"
"2017","1480","152","10.27","8.58","1.69"
"2018","5066","166","3.28","2.63","0.65"
"2019","6978","253","3.63","3.3","0.33"
"2020",NA,"154",NA,NA,NA
"2021","2037","52","2.55","1.72","0.83"
"2022","2920","24","0.82","0.72","0.1"
"2023","4227",NA,NA,"0.73",NA
"2024","2335",NA,NA,NA,NA
"10yr avg","4488.56","180.38","4.13","3.06","0.73"
