######################################################################################
##  Cm_B[t,a]: Annual number of marked fish captured at Beauchamps per sea age category; 1: 1SW, 2: MSW    
##  Cum_B[t,a]: Annual number of unmarked fish captured at Beauchamps per sea age category; 1: 1SW, 2: MSW 
###################################################################################### 
Cm_B[,1]	Cm_B[,2]	Cum_B[,1] Cum_B[,2]	
6	0	2	1
20	1	4	0
9	1	5	1
6	3	3	1
0	1	1	0
NA	NA	NA	NA
2	0	1	0
7	0	3	0
5	2	0	0
NA	NA	NA	NA
1	0	1	1
2	1	15	0
3	3	3	2
1	0	0	0
8	2	4	1
1	0	1	5
NA	NA	NA	NA
NA	NA	NA	NA
13	5	12	4
0	1	0	0
11	2	7	1
37	2	24	3
13	3	6	6
1	0	5	0
5	0	4	1
12	4	1	0
10	2	3	3
15	1	0	0
7	1	2	0
5	0	3	3
3	2	3	3
12	2	0	2
7	1	4	0 #2015/2016
#END			
