"year","n_1SW_M","n_1SW_F","n_MSW_M","n_MSW_F"
1984,NA,NA,NA,1
1985,7,10,3,4
1986,6,13,1,4
1987,3,3,0,2
1988,6,5,0,3
1989,2,9,NA,NA
1990,NA,9,1,6
1991,3,7,0,1
1992,11,14,0,13
1993,2,3,NA,4
1994,NA,5,NA,NA
1995,NA,2,NA,NA
1996,NA,3,NA,4
1997,NA,2,NA,NA
1998,5,9,NA,NA
1999,NA,1,NA,1
2000,NA,2,NA,NA
2001,NA,NA,NA,NA
2002,2,NA,NA,NA
2003,NA,NA,NA,NA
2004,NA,NA,NA,NA
2005,1,1,NA,NA
2006,1,1,NA,NA
2007,NA,NA,NA,NA
2008,16,26,0,2
2009,19,12,4,10
2010,10,30,2,15
2011,19,27,3,9
2012,19,25,1,9
2013,18,24,10,25
2014,10,15,3,14
2015,19,27,3,14
2016,23,18,3,9
2017,25,24,9,31
2018,41,27,2,27
2019,31,29,1,11
2020,22,57,0,8
2021,18,19,3,4
2022,7,8,3,21
2023,1,1,1,2
