"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"pi_Eu00[1]";0.2941656582;0.22070465288901;0.04926;0.1276;0.2232;0.3992;0.878302499861247;1.00120034635525;9000
"pi_Eu00[2]";0.5847395148;0.237905505726031;0.1504;0.3953;0.5884;0.7839;0.9766;1.00104339668263;31000
"pi_Eu01[1]";0.319797661333333;0.221846707359431;0.0600897499797157;0.1504;0.253;0.4332;0.891004999452942;1.00104561409707;30000
"pi_Eu01[2]";0.389690703196;0.262676695613551;0.0352897499654583;0.1678;0.3357;0.578024998378191;0.9437;1.00110754583136;16000
"logit_int_Eu[1]";0.7764025963;0.231793875904944;0.3344;0.622075;0.7711;0.925125;1.25;1.00189412944452;2200
"logit_int_Eu[2]";0.0596171645173467;0.256933712191206;-0.4145025;-0.1134;0.046875;0.225425;0.607404999999999;1.01377065426273;160
"logit_flow_Eu[1]";-0.707512362043867;0.365338371929054;-1.438;-0.942825;-0.7043;-0.4699;0.00614329999999993;1.00154089972068;3600
"logit_flow_Eu[2]";-0.815345777538667;0.285862030598469;-1.383025;-1.015;-0.8125;-0.625975;-0.252295000000001;1.00687350836442;340
"lflow_fall_Eu[1]";0.499901176016933;0.368928927495602;-0.228;0.2607;0.4974;0.7385;1.236;1.00138663641834;4900
"lflow_fall_Eu[2]";0.423975499173467;0.276730831820983;-0.1241;0.2435;0.4282;0.602925;0.9829;1.00497461036525;500
"sigmapi_Eu[1]";0.902338933333333;0.23931642119348;0.5031;0.7336;0.8774;1.044;1.436;1.00126042566432;7100
"sigmapi_Eu[2]";0.36281002768;0.249374467055039;0.0192489989856251;0.1726;0.3216;0.5029;0.954704999489438;1.07092134905543;110
"epsilon_Eu[1,1]";-0.242674670752933;0.710484147920553;-1.578;-0.727;-0.2643;0.220025;1.206;1.00200270728029;2000
"epsilon_Eu[1,2]";0.0374998489256267;0.931720601887036;-1.795;-0.5867;0.036195;0.6595;1.879;1.00106781228838;22000
"epsilon_Eu[2,1]";0.990589752810133;0.591438190402381;-0.1071;0.5847;0.9678;1.371;2.219;1.00124147112382;7600
"epsilon_Eu[2,2]";0.559467084653733;0.942742440253366;-1.343025;-0.060235;0.57795;1.195;2.382;1.00127768666805;6700
"epsilon_Eu[3,1]";0.0884931762761573;0.541370117484982;-0.9270025;-0.2738;0.07057;0.4317;1.208;1.00112128604618;14000
"epsilon_Eu[3,2]";0.10656689369756;0.917017707953835;-1.693;-0.504925;0.10115;0.7111;1.939;1.00104889978452;28000
"epsilon_Eu[4,1]";-0.00801186877826666;0.707026549765224;-1.39;-0.4793;-0.01361;0.4575;1.406;1.0011977026524;9100
"epsilon_Eu[4,2]";0.0556591445755067;0.929910757518009;-1.757;-0.570425;0.05063;0.6775;1.893;1.00117020552522;10000
"epsilon_Eu[5,1]";0.0947049278064267;0.721054556847054;-1.251;-0.3988;0.07073;0.5581;1.586;1.00187624972805;2200
"epsilon_Eu[5,2]";0.222794675666133;0.939689691404236;-1.627;-0.40055;0.2226;0.846425;2.071;1.00099031036975;75000
"epsilon_Eu[6,1]";0.653458752639333;0.78032633269126;-0.782405;0.115375;0.62475;1.157;2.259;1.00201933212836;1900
"epsilon_Eu[6,2]";0.243696589563571;0.935933649633873;-1.598;-0.383725;0.2425;0.8705;2.083;1.00173947132485;2600
"epsilon_Eu[7,1]";-0.100135039348387;0.799642752757164;-1.598;-0.6472;-0.12445;0.4219;1.53402499999999;1.00163024769247;3100
"epsilon_Eu[7,2]";0.2572335213878;0.953136170392255;-1.636;-0.379025;0.2595;0.9014;2.12902499999999;1.00097917249047;75000
"epsilon_Eu[8,1]";0.228845744609253;0.636455920196433;-0.982905;-0.2011;0.21555;0.6415;1.522;1.00231157609583;1500
"epsilon_Eu[8,2]";0.224120958425139;0.961282103110347;-1.656;-0.420325;0.21895;0.870125;2.12302499999999;1.00150807169933;3800
"epsilon_Eu[9,1]";0.79687737456;0.826316416156915;-0.7839025;0.234075;0.78115;1.345;2.456;1.00125415723206;7300
"epsilon_Eu[9,2]";0.173443520548987;0.97561927339401;-1.728;-0.487125;0.17235;0.8356;2.084;1.00104582869727;30000
"epsilon_Eu[10,1]";-0.255141320607867;0.970290469343653;-2.014;-0.9415;-0.3054;0.3908;1.742;1.00109047239378;18000
"epsilon_Eu[10,2]";-0.219757035200387;1.00038448491211;-2.139;-0.9068;-0.22995;0.4545;1.76002499999999;1.00120185006788;9000
"epsilon_Eu[11,1]";0.249802616700933;0.761060714248823;-1.188;-0.269625;0.2284;0.7483;1.809;1.0011381743463;13000
"epsilon_Eu[11,2]";-0.08103694944256;0.936687912703687;-1.908;-0.711725;-0.083655;0.548;1.766;1.00110947074041;15000
"epsilon_Eu[12,1]";-1.60143640149467;0.617018171244522;-2.859;-2.004;-1.579;-1.177;-0.449792500000002;1.00116698636133;11000
"epsilon_Eu[12,2]";-0.313304189792;0.987046690517361;-2.217025;-0.983125;-0.3231;0.3496;1.637;1.0010634217307;24000
"epsilon_Eu[13,1]";-1.19392295519373;0.770385122785965;-2.675;-1.706;-1.208;-0.6979;0.369802499999999;1.00101047077075;63000
"epsilon_Eu[13,2]";-0.404504311693013;0.968385902257605;-2.256;-1.06;-0.4179;0.237;1.55102499999999;1.0013186821795;5900
"epsilon_Eu[14,1]";0.0487642484601333;0.93017582324998;-1.703;-0.5933;0.025765;0.66545;1.926;1.00150014345371;3800
"epsilon_Eu[14,2]";0.0534985400982667;0.982783122983536;-1.867;-0.6099;0.050285;0.7151;1.99;1.00103644354901;35000
"epsilon_Eu[15,1]";-0.39896337114184;0.724821523581466;-1.825;-0.885225;-0.39625;0.085525;1.029;1.00109543025039;17000
"epsilon_Eu[15,2]";-0.180133967837593;0.961795582860964;-2.043025;-0.831925;-0.1901;0.464725;1.734;1.00100451286537;75000
"epsilon_Eu[16,1]";-0.703235688462227;0.821218629842898;-2.214;-1.27;-0.74;-0.178775;1.018;1.00133844979544;5600
"epsilon_Eu[16,2]";-0.742353796382667;0.94401631974602;-2.505;-1.388;-0.78145;-0.1347;1.212;1.00290378582641;1000
"epsilon_Eu[17,1]";-0.22940515199228;1.03207779794565;-2.198;-0.94;-0.24635;0.4686;1.822;1.0012348455923;7800
"epsilon_Eu[17,2]";0.0388331441256;0.9837985907501;-1.874;-0.6228;0.03526;0.697725;1.981;1.00109526547665;17000
"epsilon_Eu[18,1]";-0.331586845096393;0.992946156402484;-2.168;-1.02025;-0.36215;0.3255;1.709;1.00114614301864;12000
"epsilon_Eu[18,2]";-0.129018138867133;0.98854302633649;-2.053;-0.8006;-0.1305;0.53685;1.825;1.00104940085219;28000
"epsilon_Eu[19,1]";-0.429109749492933;0.556497810705049;-1.553;-0.793225;-0.4204;-0.0590775;0.640402499999999;1.00110122032252;16000
"epsilon_Eu[19,2]";-0.00190719090632;0.904163784253311;-1.772;-0.603525;-0.008176;0.5981;1.787;1.0011018732836;16000
"epsilon_Eu[20,1]";-0.355702741861733;0.88610128296858;-1.94;-0.9784;-0.4102;0.2106;1.513;1.00104111127303;32000
"epsilon_Eu[20,2]";0.0238392968511467;0.94469047579029;-1.805;-0.611825;0.01436;0.6535;1.89702499999999;1.00099676655887;75000
"epsilon_Eu[21,1]";-0.445250291780267;0.57419564390258;-1.575025;-0.8238;-0.44965;-0.0691575;0.697602499999999;1.00133392693501;5600
"epsilon_Eu[21,2]";-0.05052940256352;0.946131769204802;-1.889025;-0.6891;-0.057645;0.5785;1.82802499999999;1.00123094853897;7900
"epsilon_Eu[22,1]";-0.51414694194892;0.44498139119887;-1.419;-0.8027;-0.5061;-0.2176;0.340407499999998;1.00116167483054;11000
