"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pi_Eu00[1]","0.2851942982","0.22137495873044","0.0424394998850963","0.1181","0.2136","0.3914","0.873202499860438","1.00098496526659","40000"
"pi_Eu00[2]","0.59328801975","0.236828800549617","0.15519749921439","0.4072","0.599249997914059","0.7926","0.9785","1.00104976200076","20000"
"pi_Eu01[1]","0.291882977","0.214203756644419","0.0520397499765776","0.132","0.2243","0.3919","0.8671","1.00097666850603","40000"
"pi_Eu01[2]","0.38604672528","0.268245113027935","0.0293097499584093","0.1573","0.3282","0.5842","0.9433","1.00105103863989","19000"
"logit_int_Eu[1]","0.832805369125","0.22796134226949","0.402595","0.680975","0.8267","0.9786","1.302","1.00098079716454","40000"
"logit_int_Eu[2]","0.293410703797975","0.299053584403995","-0.2491075","0.0906275","0.2774","0.4799","0.9290025","1.00097609101364","40000"
"logit_flow_Eu[1]","-0.677016970629","0.34310317890035","-1.361","-0.89865","-0.677","-0.4503","-0.00171269999999952","1.00097419674206","40000"
"logit_flow_Eu[2]","-0.692083757532","0.328071845732226","-1.352","-0.904325","-0.6906","-0.4754","-0.0584995","1.00103459822923","25000"
"lflow_fall_Eu[1]","0.5198923303325","0.347724963558161","-0.169815","0.2919","0.5229","0.7473","1.201","1.00097682005613","40000"
"lflow_fall_Eu[2]","0.3303895704215","0.316864706348756","-0.3031025","0.1254","0.3313","0.5374","0.9563025","1.00103240339123","25000"
"sigmapi_Eu[1]","0.9353769575","0.224590293591002","0.5498","0.7779","0.9161","1.072","1.428","1.00098906080445","40000"
"sigmapi_Eu[2]","0.67380400225","0.273462378173966","0.2172","0.480174998047451","0.6485","0.8378","1.285","1.00102489390419","29000"
"epsilon_Eu[1,1]","-0.2609551929457","0.706160087030099","-1.584","-0.7428","-0.2814","0.193925","1.194","1.00097586590096","40000"
"epsilon_Eu[1,2]","-0.040032616036675","0.857483936596277","-1.685","-0.621125","-0.055175","0.51915","1.69","1.00104024416041","22000"
"epsilon_Eu[2,1]","0.961408411447727","0.577208498475245","-0.1069025","0.568675","0.9402","1.33","2.155","1.00097792349278","40000"
"epsilon_Eu[2,2]","0.70602593042775","0.843406629218265","-0.9367025","0.1408","0.7009","1.25825","2.38","1.00104099354101","22000"
"epsilon_Eu[3,1]","0.02309502328665","0.534181093882748","-0.9830025","-0.335325","0.004492","0.3629","1.11605","1.00102420861643","30000"
"epsilon_Eu[3,2]","0.07416265293525","0.816199764741324","-1.475","-0.472225","0.050695","0.606325","1.737","1.0009764083642","40000"
"epsilon_Eu[4,1]","-0.13062709964565","0.698753948430255","-1.473025","-0.5977","-0.13635","0.3287","1.259","1.00104276963418","22000"
"epsilon_Eu[4,2]","0.055091683350175","0.859708790971883","-1.616","-0.518925","0.042975","0.62405","1.779","1.00108653398817","13000"
"epsilon_Eu[5,1]","0.000932402992249998","0.721120572605638","-1.357","-0.490525","-0.02523","0.4668","1.484025","1.00106285261398","17000"
"epsilon_Eu[5,2]","0.242692134785","0.866138737737003","-1.425025","-0.33985","0.2289","0.817825","1.978","1.00099024477369","40000"
"epsilon_Eu[6,1]","0.59854489159515","0.777980813580026","-0.836705","0.0573","0.5669","1.1","2.220025","1.00100359900535","40000"
"epsilon_Eu[6,2]","0.298571752175875","0.874143968600162","-1.362","-0.294425","0.27805","0.873125","2.062025","1.00097836850848","40000"
"epsilon_Eu[7,1]","-0.113080125855","0.779458281805686","-1.567025","-0.6426","-0.1399","0.3892","1.493","1.00097870868287","40000"
"epsilon_Eu[7,2]","0.33870453710175","0.891136560870799","-1.362","-0.2696","0.3256","0.926425","2.116025","1.00097368915856","40000"
"epsilon_Eu[8,1]","0.20554231084735","0.627671709369248","-0.9732","-0.217625","0.185","0.611425","1.487","1.0009754205112","40000"
"epsilon_Eu[8,2]","0.33943592313625","0.894004482234238","-1.378","-0.267825","0.3273","0.92565","2.132","1.00101330350828","38000"
"epsilon_Eu[9,1]","0.7372384237125","0.823250930247561","-0.82401","0.169875","0.7168","1.281","2.403","1.00097652560044","40000"
"epsilon_Eu[9,2]","0.2980068620325","0.918056196284049","-1.474","-0.322825","0.2916","0.909425","2.132","1.00097999937692","40000"
"epsilon_Eu[10,1]","-0.29675242527125","0.98602784515303","-2.100025","-0.996425","-0.3366","0.3656","1.724","1.00097491147744","40000"
"epsilon_Eu[10,2]","-0.2973402115033","0.973222991960594","-2.105025","-0.977125","-0.3307","0.357925","1.68","1.00103550987802","24000"
"epsilon_Eu[11,1]","0.197165452462175","0.759829084486825","-1.267","-0.314625","0.17325","0.6964","1.738","1.00105635952365","18000"
"epsilon_Eu[11,2]","-0.2215615641025","0.86354932389713","-1.895","-0.798325","-0.23575","0.353725","1.508025","1.00097817736306","40000"
"epsilon_Eu[12,1]","-1.61826714065725","0.596567500044576","-2.840025","-2.007","-1.606","-1.212","-0.481189999999999","1.0009970783959","40000"
"epsilon_Eu[12,2]","-0.504762479080625","0.946707980632984","-2.318","-1.147","-0.526","0.12055","1.422","1.00097348798487","40000"
"epsilon_Eu[13,1]","-1.16323322634775","0.747723512203638","-2.611025","-1.667","-1.174","-0.6722","0.3403075","1.00104132263912","22000"
"epsilon_Eu[13,2]","-0.59568190843825","0.881645558850792","-2.277025","-1.193","-0.6222","-0.018585","1.195","1.00103222083618","26000"
"epsilon_Eu[14,1]","0.00505246069105","0.941355508682185","-1.756025","-0.649625","-0.024275","0.6338","1.913025","1.00102248516308","31000"
"epsilon_Eu[14,2]","0.1338591706815","0.93896597610684","-1.680025","-0.50395","0.11485","0.756725","2.020025","1.00097889375212","40000"
"epsilon_Eu[15,1]","-0.4861945762225","0.69289690186154","-1.853","-0.9433","-0.48675","-0.0257725","0.872222500000001","1.00102561945953","29000"
"epsilon_Eu[15,2]","-0.25420298357575","0.908862211499932","-1.991","-0.873925","-0.2684","0.35205","1.56","1.00098349788191","40000"
"epsilon_Eu[16,1]","-0.71775133208125","0.826671242230315","-2.226","-1.285","-0.7552","-0.19175","1.015025","1.00097492191643","40000"
"epsilon_Eu[16,2]","-1.13837662712325","0.767562596047251","-2.607","-1.643","-1.154","-0.6504","0.4398075","1.00099443191923","40000"
"epsilon_Eu[17,1]","-0.2190299208885","1.03579142928761","-2.218025","-0.931625","-0.2235","0.483","1.823025","1.00097642549098","40000"
"epsilon_Eu[17,2]","0.09355792478475","0.951822115327151","-1.745","-0.55075","0.092365","0.7273","2.002025","1.00097494810427","40000"
"epsilon_Eu[18,1]","-0.3439668821455","1.01141938559235","-2.227025","-1.055","-0.3772","0.3295","1.699025","1.00104732428335","20000"
"epsilon_Eu[18,2]","-0.21854047097975","0.981451134465365","-2.112","-0.884025","-0.2284","0.433525","1.752025","1.00099454957082","40000"
"epsilon_Eu[19,1]","-0.51919164666225","0.543373950527232","-1.601","-0.8804","-0.5146","-0.1544","0.5385025","1.00097480357355","40000"
"epsilon_Eu[19,2]","-0.13361286536525","0.790772100767621","-1.664025","-0.653625","-0.1441","0.3822","1.459025","1.00099056537543","40000"
"epsilon_Eu[20,1]","-0.44673099828175","0.89019628059383","-2.038","-1.067","-0.5116","0.117825","1.466025","1.00097554747466","40000"
"epsilon_Eu[20,2]","0.01516226179","0.894152464997473","-1.673025","-0.5956","-0.0081335","0.600825","1.837025","1.00102032900882","32000"
"epsilon_Eu[21,1]","-0.4249103997935","0.561301951375434","-1.531025","-0.7937","-0.4272","-0.0642","0.7041025","1.00100794438603","40000"
"epsilon_Eu[21,2]","-0.08133484830025","0.874056238454451","-1.756025","-0.6761","-0.098415","0.4943","1.67","1.00098555395842","40000"
"epsilon_Eu[22,1]","-0.48019639312925","0.428058229920886","-1.335","-0.7604","-0.4745","-0.1961","0.3559","1.0009735855343","40000"
"epsilon_Eu[22,2]","-0.3503345201695","0.784246947408523","-1.829","-0.8807","-0.3763","0.1544","1.259","1.0010209094132","32000"
"epsilon_Eu[23,1]","-0.0316208549825","0.545098014869681","-1.077","-0.396325","-0.044025","0.325125","1.078","1.00099027452888","40000"
"epsilon_Eu[23,2]","-0.5766015019765","0.716445650739182","-1.962025","-1.047","-0.59535","-0.124975","0.8986","1.000975303259","40000"
"epsilon_Eu[24,1]","-1.03374762569275","0.598097943471983","-2.2","-1.429","-1.033","-0.6448","0.156105","1.00098007287143","40000"
"epsilon_Eu[24,2]","-0.07087107022025","0.940244125531808","-1.844","-0.7141","-0.095665","0.5512","1.827","1.00098031414836","40000"
"epsilon_Eu[25,1]","-0.17595967653075","0.61839116534792","-1.375","-0.585525","-0.1884","0.225425","1.081","1.00097505293101","40000"
"epsilon_Eu[25,2]","-0.8764504469758","0.923371639740237","-2.594","-1.509","-0.91445","-0.2823","1.029","1.00109718999951","12000"
"epsilon_Eu[26,1]","0.854370718268","0.679699250489589","-0.398605","0.387","0.8262","1.291","2.272","1.00099579916907","40000"
"epsilon_Eu[26,2]","0.80568592877075","0.830931407184698","-0.8011225","0.250675","0.7923","1.355","2.463","1.00099751611664","40000"
"epsilon_Eu[27,1]","0.246167067902275","0.59592353851038","-0.865905","-0.1587","0.2245","0.6308","1.479","1.00097936957539","40000"
"epsilon_Eu[27,2]","-0.21897812752025","0.748892282577471","-1.646","-0.7178","-0.2407","0.2552","1.326","1.00097382072404","40000"
"epsilon_Eu[28,1]","1.49560379939","0.72473045425362","0.1430975","1","1.468","1.967","2.993","1.00099026263985","40000"
"epsilon_Eu[28,2]","0.22473517461725","0.909407563523229","-1.504025","-0.397575","0.2092","0.828725","2.058025","1.00102066414018","32000"
"epsilon_Eu[29,1]","0.107102698248","0.673402731312024","-1.155","-0.344825","0.086425","0.5379","1.506","1.00100168958409","40000"
"epsilon_Eu[29,2]","0.29987598595875","0.890017414922557","-1.405","-0.3024","0.2885","0.8927","2.083","1.00098332187314","40000"
"epsilon_Eu[30,1]","-0.32411298238975","0.686890461263542","-1.673","-0.779925","-0.3325","0.128225","1.047","1.00107314336093","15000"
"epsilon_Eu[30,2]","-0.1384584284075","0.794871557567281","-1.688025","-0.666","-0.1462","0.38795","1.449025","1.0009794992459","40000"
"epsilon_Eu[31,1]","1.39726341177875","0.731933175940731","0.0266795","0.8993","1.373","1.873","2.893025","1.00098507638307","40000"
"epsilon_Eu[31,2]","0.1743117936525","0.772267138055493","-1.326025","-0.33925","0.15825","0.676425","1.721","1.00097919065322","40000"
"epsilon_Eu[32,1]","0.146301979558325","0.563656612585143","-0.91781","-0.2291","0.1275","0.5069","1.311","1.00097395887805","40000"
"epsilon_Eu[32,2]","0.872639259975075","0.830093758612912","-0.7395","0.3176","0.86025","1.41725","2.536","1.00097496758524","40000"
"epsilon_Eu[33,1]","-0.24721676314825","0.52930151803564","-1.288","-0.598","-0.2476","0.104","0.792127500000002","1.00097378957995","40000"
"epsilon_Eu[33,2]","0.19485018957","0.882786209037271","-1.482","-0.4029","0.17505","0.777525","1.974","1.00102973587362","27000"
"epsilon_Eu[34,1]","0.62824772055375","0.728818628151097","-0.7536125","0.132275","0.6083","1.104","2.123","1.00116773120338","7700"
"epsilon_Eu[34,2]","0.0248830049455","0.848604894740607","-1.602","-0.551225","0.008478","0.5796","1.74","1.00098758732006","40000"
"epsilon_Eu[35,1]","0.87520149731175","0.743592731774169","-0.5016025","0.3584","0.8469","1.361","2.408","1.00102395135041","30000"
"epsilon_Eu[35,2]","0.360618534971525","0.806428541598386","-1.18","-0.183","0.33985","0.8807","2.007","1.00101027790419","40000"
"epsilon_Eu[36,1]","-0.072305391200025","0.76420463442196","-1.453025","-0.593625","-0.1224","0.401025","1.568025","1.00098034330681","40000"
"epsilon_Eu[36,2]","-0.372644449995","0.907468341611872","-2.066025","-0.9961","-0.4119","0.211","1.52","1.00110008283873","12000"
"epsilon_Eu[37,1]","0.63103494920075","0.714988647535971","-0.663105","0.1419","0.5898","1.079","2.146","1.00106003238713","17000"
"epsilon_Eu[37,2]","0.5483819761824","0.849208253752288","-1.077025","-0.023705","0.5335","1.106","2.269","1.00105711883518","18000"
"mupi_B[1]","0.0821794505","0.012560792094271","0.059509749979518","0.07353","0.08153","0.08997","0.1089","1.00100334491084","40000"
"mupi_B[2]","0.06020800675","0.0120593926320201","0.0387","0.05177","0.05942","0.06777","0.0859902499858279","1.0010490256454","20000"
"sigmapi_B[1]","0.8163274","0.1432670897789","0.5753","0.7157","0.802","0.9028","1.135","1.00097665850772","40000"
"sigmapi_B[2]","0.728068392","0.21531892763092","0.338597499639992","0.5809","0.7146","0.8606","1.191","1.00097613498409","40000"
"pi_Eu[1,1]","0.6976359375","0.123120628454272","0.4341","0.6166","0.7084","0.7895","0.9045","1.00097356710361","40000"
"pi_Eu[1,2]","0.61143523","0.133486670896872","0.344094998582718","0.5203","0.6128","0.7052249986707","0.864102499858968","1.00107419506461","15000"
"pi_Eu[2,1]","0.76335878","0.0791122127643186","0.5933","0.7118","0.7693","0.8207","0.8999","1.00097487617803","40000"
"pi_Eu[2,2]","0.5863711","0.149601661356808","0.3202","0.4757","0.5768","0.6897","0.8904","1.00098231245368","40000"
"pi_Eu[3,1]","0.685742585","0.0917527189790786","0.4976","0.6244","0.6897","0.751124998751928","0.851104999427301","1.00099837122978","40000"
"pi_Eu[3,2]","0.54605371325","0.133973972995673","0.2998","0.4514","0.539","0.6354","0.824102499852123","1.0009843048456","40000"
"pi_Eu[4,1]","0.7360565625","0.102692433247683","0.5136","0.6688","0.7451","0.8125","0.907702499865742","1.00100755289866","40000"
"pi_Eu[4,2]","0.62141441","0.139666469581715","0.3465","0.5230749982076","0.6231","0.7225","0.880802499861642","1.00099489700009","40000"
"pi_Eu[5,1]","0.55425571125","0.14739809140726","0.281597499567104","0.4473","0.5502","0.6593","0.844","1.00104361511019","21000"
"pi_Eu[5,2]","0.41714161125","0.155174533113071","0.1776","0.302","0.3946","0.51","0.778602499843482","1.00111315186825","11000"
"pi_Eu[6,1]","0.690631805","0.140495635318435","0.4071","0.5916","0.6964","0.7976","0.9362","1.00102891219014","27000"
"pi_Eu[6,2]","0.50474426575","0.1579391784829","0.2389","0.3889","0.4876","0.608224998458714","0.849102499856477","1.00098597627456","40000"
"pi_Eu[7,1]","0.7061653575","0.135809463410714","0.416397499707266","0.6157","0.7198","0.809","0.9283","1.00097386759856","40000"
"pi_Eu[7,2]","0.66624326","0.141941754546062","0.3908","0.5649","0.667","0.770924998783981","0.9281","1.00098068939183","40000"
"pi_Eu[8,1]","0.729714215","0.0973167987061665","0.5216","0.6664","0.7362","0.8008","0.8982","1.00097470960309","40000"
"pi_Eu[8,2]","0.6702599075","0.140208860133563","0.394397499690935","0.5711","0.6716","0.773","0.9299","1.0010083862872","40000"
"pi_Eu[9,1]","0.8955743875","0.0704884720991122","0.7199","0.859","0.9109","0.9483","0.986","1.0009788675884","40000"
"pi_Eu[9,2]","0.782950285","0.117890999623014","0.5197","0.7082","0.7967","0.8737","0.9654","1.00098773809759","40000"
"pi_Eu[10,1]","0.6964512075","0.177185180165339","0.303897499598877","0.5782","0.7258","0.8374","0.9554","1.00098570817548","40000"
