"code_site";"code_station";"date_obs_elab";"resultat_obs_elab";"date_prod";"code_statut";"libelle_statut";"code_methode";"libelle_methode";"code_qualification";"libelle_qualification";"longitude";"latitude";"grandeur_hydro_elab";"date";"year";"month";"day"
"G1110410";"G111041010";"2000-01-01";6409;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-01;"2000";"01";"01"
"G1110410";"G111041010";"2000-01-02";6200;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-02;"2000";"01";"02"
"G1110410";"G111041010";"2000-01-03";6045;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-03;"2000";"01";"03"
"G1110410";"G111041010";"2000-01-04";6622;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-04;"2000";"01";"04"
"G1110410";"G111041010";"2000-01-05";6168;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-05;"2000";"01";"05"
"G1110410";"G111041010";"2000-01-06";5976;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-06;"2000";"01";"06"
"G1110410";"G111041010";"2000-01-07";5814;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-07;"2000";"01";"07"
"G1110410";"G111041010";"2000-01-08";5825;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-08;"2000";"01";"08"
"G1110410";"G111041010";"2000-01-09";5653;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-09;"2000";"01";"09"
"G1110410";"G111041010";"2000-01-10";5503;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-10;"2000";"01";"10"
"G1110410";"G111041010";"2000-01-11";5530;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-11;"2000";"01";"11"
"G1110410";"G111041010";"2000-01-12";5494;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-12;"2000";"01";"12"
"G1110410";"G111041010";"2000-01-13";5509;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-13;"2000";"01";"13"
"G1110410";"G111041010";"2000-01-14";5407;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-14;"2000";"01";"14"
"G1110410";"G111041010";"2000-01-15";5209;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-15;"2000";"01";"15"
"G1110410";"G111041010";"2000-01-16";5106;"2024-03-08T03:16:22Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";2000-01-16;"2000";"01";"16"
