######################################################################################
##  eff_Eu[t]: Annual capture efficiency at Eu, calculated as the ratio between the number of functioning days and the maximum possible functioning days during the migration period (March 15th to May 15th)
######################################################################################
annee  eff_Eu[]
1982	0
1983	0
1984	0
1985	0
1986	0.975
1987	0
1988	0
1989	0
1990	0
1991	0
1992	0
1993	0.825
1994	0.925
1995	0
1996	0.975
1997	1
1998	0.975
1999	1
2000	0.875
2001	0.125
2002	0
2003	0.95
2004	1
2005	0.875
2006	1
2007	1
2008	1
2009	0.975
2010	1
2011	1
2012	1
2013	0.95
2014	0.975
2015	1
2016	1
2017	1
2018	0.8
2019	0.775
2020	0
2021	0.775
2022	0.8
2023	0.775
2024	0.85
