"annee"	"cap_lf"	"age_riv"	"nb"
1973	220		1
1973	230		1
1973	240		1
1973	245		1
1973	250		2
1973	255		1
1973	270		1
1973	280		2
1973	285		1
1973	320		1
1976			4
1978			2
1982	110		1
1982	120		2
1982	123		1
1982	124		1
1982	125		7
1982	126		1
1982	127		4
1982	128		3
1982	129		1
1982	130		15
1982	131		2
1982	132		8
1982	133		4
1982	134		11
1982	135		18
1982	136		3
1982	137		6
1982	138		21
1982	139		4
1982	140		38
1982	141		7
1982	142		32
1982	143		13
1982	144		11
1982	145		45
1982	146		13
1982	147		23
1982	148		29
1982	149		28
1982	150		61
1982	151		20
1982	152		39
1982	153		25
1982	154		15
1982	155		60
1982	156		16
1982	157		29
1982	158		39
1982	159		15
1982	160		66
1982	161		14
1982	162		34
1982	163		20
1982	164		11
1982	165		32
1982	166		12
1982	167		7
1982	168		10
1982	169		8
1982	170		21
1982	171		1
1982	172		6
1982	173		5
1982	174		1
1982	175		8
1982	176		4
1982	177		2
1982	178		12
1982	179		4
1982	180		14
1982	181		2
1982	182		7
1982	183		3
1982	184		1
1982	185		16
1982	186		2
1982	187		4
1982	188		10
1982	189		5
1982	190		14
1982	191		3
1982	192		5
1982	193		2
1982	194		3
1982	195		14
1982	196		3
1982	197		5
1982	198		3
1982	199		1
1982	200		10
1982	202		1
1982	203		2
1982	204		1
1982	205		6
1982	206		4
1982	207		1
1982	208		1
1982	209		1
1982	210		7
1982	212		2
1982	213		1
1982	215		1
1982	223		1
1982	224		2
1982	226		1
1982	235		1
1983	112		1
1983	115		1
1983	118		1
1983	120		3
1983	121		1
1983	122		2
1983	127		1
1983	128		2
1983	130		8
1983	133		2
1983	134		2
1983	135		9
1983	136		3
1983	137		5
1983	138		6
1983	139		3
1983	140		17
1983	141		2
1983	142		9
1983	143		7
1983	144		5
1983	145		23
1983	146		8
1983	147		12
1983	148		20
1983	149		4
1983	150		43
1983	151		10
1983	152		22
1983	153		27
1983	154		13
1983	155		62
1983	156		16
1983	157		17
1983	158		44
1983	159		16
1983	160		67
1983	161		10
1983	162		34
1983	163		32
1983	164		8
1983	165		55
1983	166		18
1983	167		12
1983	168		32
1983	169		4
1983	170		29
1983	171		7
1983	172		15
1983	173		15
1983	174		4
1983	175		35
1983	176		14
1983	177		10
1983	178		20
1983	179		6
1983	180		22
1983	181		6
1983	182		18
1983	183		9
1983	184		7
1983	185		29
1983	186		11
1983	187		9
1983	188		14
1983	189		5
1983	190		21
1983	191		1
1983	192		16
1983	193		9
1983	194		6
1983	195		18
1983	196		8
1983	197		9
1983	198		7
1983	199		3
1983	200		8
1983	201		2
1983	202		4
1983	203		5
1983	204		3
1983	205		5
1983	206		3
1983	207		2
1983	208		2
1983	209		2
1983	210		3
1983	211		1
1983	212		3
1983	214		1
1983	215		4
1983	217		1
1983	218		1
1983	220		2
1983	221		1
1983	223		1
1983	225		1
1983	230		2
1983	235		1
1983	237		1
1983	250		1
1983			1
1984	170	"1"	1
1984	171	"1"	1
1984	197	"2"	1
1984	105		1
1984	108		1
1984	110		1
1984	111		3
1984	112		1
1984	113		1
1984	115		4
1984	116		2
1984	117		2
1984	118		4
1984	120		7
1984	121		1
1984	122		6
1984	125		7
1984	126		2
1984	127		1
1984	128		4
1984	129		1
1984	130		3
1984	131		1
1984	132		2
1984	133		1
1984	134		3
1984	135		13
1984	136		4
1984	137		2
1984	138		4
1984	139		2
1984	140		16
1984	141		4
1984	142		16
1984	143		11
1984	144		10
1984	145		48
1984	146		9
1984	147		11
1984	148		28
1984	149		6
1984	150		45
1984	151		17
1984	152		30
1984	153		35
1984	154		16
1984	155		58
1984	156		22
1984	157		15
1984	158		32
1984	159		11
1984	160		35
1984	161		9
1984	162		16
1984	163		9
1984	164		3
1984	165		28
1984	166		12
1984	167		1
1984	168		6
1984	169		3
1984	170		19
1984	171		1
1984	172		7
1984	174		1
1984	175		4
1984	176		2
1984	177		1
1984	178		1
1984	180		4
1984	181		1
1984	182		2
1984	183		1
1984	185		6
1984	186		1
1984	187		2
1984	188		1
1984	190		8
1984	191		3
1984	192		7
1984	193		2
1984	195		6
1984	196		3
1984	197		1
1984	198		3
1984	199		1
1984	200		4
1984	203		1
1984	204		2
1984	205		4
1984	208		5
1984	210		3
1984	212		2
1984	213		1
1984	215		1
1984	216		3
1984	217		1
1984	218		1
1984	219		1
1984	220		5
1984	225		1
1984	250		1
1985	120		1
1985	122		1
1985	125		5
1985	127		1
1985	128		2
1985	129		2
1985	130		7
1985	132		4
1985	133		5
1985	134		5
1985	135		23
1985	136		6
1985	137		11
1985	138		12
1985	139		6
1985	140		50
1985	141		12
1985	142		37
1985	143		34
1985	144		21
1985	145		88
1985	146		25
1985	147		33
1985	148		71
1985	149		13
1985	150		100
1985	151		25
1985	152		60
1985	153		34
1985	154		27
1985	155		107
1985	156		31
1985	157		25
1985	158		44
1985	159		18
1985	160		75
1985	161		12
1985	162		27
1985	163		15
1985	164		13
1985	165		43
1985	166		15
1985	167		6
1985	168		14
1985	169		2
1985	170		17
1985	171		3
1985	172		15
1985	173		11
1985	174		4
1985	175		21
1985	176		6
1985	177		5
1985	178		13
1985	179		3
1985	180		19
1985	181		3
1985	182		8
1985	183		10
1985	184		6
1985	185		17
1985	186		8
1985	187		5
1985	188		7
1985	189		8
1985	190		14
1985	191		5
1985	192		11
1985	193		1
1985	195		12
1985	196		3
1985	198		1
1985	200		9
1985	201		1
1985	202		4
1985	203		3
1985	204		2
1985	205		12
1985	206		1
1985	207		2
1985	210		5
1985	212		1
1985	214		1
1985	215		1
1985	220		1
1985	221		1
1985	230		1
1985	238		1
1985	242		1
1985	245		1
1986	215	"2"	1
1986	106		1
1986	110		1
1986	115		1
1986	118		1
1986	123		1
1986	125		1
1986	128		1
1986	130		5
1986	132		1
1986	136		1
1986	138		3
1986	139		1
1986	140		2
1986	141		3
1986	142		3
1986	143		3
1986	144		3
1986	145		7
1986	146		4
1986	147		5
1986	148		16
1986	149		3
1986	150		34
1986	151		5
1986	152		17
1986	153		17
1986	154		15
1986	155		62
1986	156		21
1986	157		24
1986	158		35
1986	159		12
1986	160		72
1986	161		11
1986	162		41
1986	163		27
1986	164		12
1986	165		49
1986	166		10
1986	167		14
1986	168		24
1986	169		8
1986	170		23
1986	171		13
1986	172		12
1986	173		7
1986	174		4
1986	175		9
1986	176		3
1986	177		3
1986	178		5
1986	179		5
1986	180		8
1986	182		2
1986	183		1
1986	185		7
1986	186		3
1986	187		1
1986	188		5
1986	190		5
1986	191		5
1986	192		1
1986	193		2
1986	195		7
1986	197		3
1986	198		4
1986	200		4
1986	202		2
1986	203		1
1986	204		2
1986	205		3
1986	208		3
1986	210		2
1986	212		1
1986	215		1
1986	223		1
1986	225		1
1986	229		1
1986	231		1
1987	120		1
1987	125		1
1987	126		1
1987	127		1
1987	128		2
1987	129		2
1987	130		7
1987	131		2
1987	132		3
1987	133		5
1987	134		2
1987	135		31
1987	136		3
1987	137		8
1987	138		6
1987	139		2
1987	140		37
1987	141		9
1987	142		11
1987	143		9
1987	144		3
1987	145		50
1987	146		10
1987	147		10
1987	148		13
1987	149		3
1987	150		32
1987	151		4
1987	152		11
1987	153		8
1987	154		3
1987	155		19
1987	156		6
1987	157		7
1987	158		6
1987	159		3
1987	160		9
1987	161		1
1987	162		3
1987	164		2
1987	165		2
1987	166		1
1987	167		1
1987	168		1
1987	170		3
1987	174		1
1987	175		4
1987	178		1
1987	180		5
1987	182		1
1987	185		4
1987	190		2
1987	192		1
1987	195		2
1987	200		2
1987	201		1
1987	202		1
1987	203		2
1987	205		3
1987	209		1
1987	210		1
1987	223		1
1987	228		1
1987	232		1
1987	244		1
1987	245		1
1987	280		1
1988	191	.	1
1988	135	"1"	1
1988	184	"1"	1
1988	182	"2"	1
1988	185	"2"	1
1988	190	"2"	1
1988	195	"2"	1
1988	196	"2"	1
1988	200	"2"	1
1988	202	"2"	1
1988	205	"2"	1
1988	208	"2"	1
1988	210	"2"	1
1988	219	"2"	1
1988	103		1
1988	107		1
1988	112		1
1988	115		1
1988	118		2
1988	119		1
1988	120		1
1988	121		1
1988	122		1
1988	123		2
1988	125		9
1988	126		6
1988	127		1
1988	128		3
1988	129		1
1988	130		12
1988	131		1
1988	132		9
1988	133		1
1988	134		4
1988	135		13
1988	136		5
1988	137		5
1988	138		15
1988	139		5
1988	140		15
1988	141		6
1988	142		22
1988	143		12
1988	144		20
1988	145		37
1988	146		17
1988	147		13
1988	148		24
1988	149		11
1988	150		36
1988	151		13
1988	152		17
1988	153		13
1988	154		20
1988	155		48
1988	156		6
1988	157		11
1988	158		18
1988	159		9
1988	160		15
1988	161		7
1988	162		13
1988	163		6
1988	164		5
1988	165		11
1988	166		1
1988	168		8
1988	169		3
1988	170		6
1988	172		4
1988	174		1
1988	175		2
1988	180		1
1988	182		3
1988	184		1
1988	187		1
1988	188		1
1988	190		1
1988	192		1
1988	195		1
1988	205		2
1992	134		1
1992	135		1
1992	138		1
1992	139		1
1992	140		7
1992	141		2
1992	143		2
1992	144		1
1992	145		12
1992	146		1
1992	147		2
1992	148		3
1992	149		3
1992	150		24
1992	151		5
1992	152		10
1992	153		7
1992	154		7
1992	155		22
1992	156		11
1992	157		7
1992	158		10
1992	159		2
1992	160		42
1992	161		2
1992	162		10
1992	163		8
1992	164		5
1992	165		24
1992	166		6
1992	167		6
1992	168		7
1992	169		5
1992	170		21
1992	171		2
1992	172		4
1992	173		1
1992	174		3
1992	175		7
1992	176		4
1992	178		1
1992	180		7
1992	182		2
1992	183		2
1992	184		1
1992	185		4
1992	186		4
1992	188		2
1992	192		1
1992	193		1
1992	194		1
1992	195		5
1992	197		1
1992	200		4
1992	208		2
1992	212		1
1992	216		2
1992	221		1
1992	225		1
1992	238		1
1992	250		1
1992			24
1993	144	"1"	1
