"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"mu_B";0.292803874666667;0.0391085453837298;0.2196;0.2662;0.2915;0.318;0.3734;1.00114621926653;12000
"sigmap_B";0.91491392;0.159220957843325;0.656797499814423;0.8021;0.8965;1.007;1.277;1.00760919721866;300
"logit_int_Eu";-2.50183664;0.0723114968697564;-2.646;-2.548;-2.502;-2.455;-2.359;1.00104840153401;29000
"logit_flow_Eu";-0.0751246312679067;0.0756334060766654;-0.2263025;-0.124;-0.07465;-0.02552;0.0725;1.00288695163662;1100
"sigmap_Eu";0.294959212;0.0628045800443146;0.195;0.2505;0.2871;0.3306;0.4393;1.00110068581035;16000
"p_B[1]";0.375932617333333;0.153712833172914;0.149;0.2569;0.3532;0.4587;0.7381;1.04330606627054;61
"p_B[2]";0.359465446666667;0.152996032764735;0.1506;0.2421;0.330249996214989;0.4456;0.7359;1.0465415231911;55
"p_B[3]";0.261618266533333;0.116900731773519;0.09883;0.1696;0.2477;0.3336;0.5425;1.04339438863053;72
"p_B[4]";0.446959568;0.129818896231112;0.2364;0.3573;0.4203;0.518949992774798;0.771502499842041;1.30981943726164;11
"p_B[5]";0.377016524;0.0367168745947849;0.3056;0.3526;0.3766;0.4014;0.4506;1.00410577056796;640
"p_B[6]";0.2467901696;0.145484115538071;0.06487;0.1371;0.2135;0.3171;0.639804999238199;1.1356850831502;20
"p_B[7]";0.2415023152;0.152414088942044;0.0685074982193513;0.1322;0.2019;0.3014;0.6662;1.04952329201636;58
"p_B[8]";0.319950198666667;0.0322306118112119;0.2595;0.2974;0.3188;0.3413;0.3856;1.00160502655535;3200
"p_B[9]";0.383621758666667;0.0330656937871943;0.3197;0.361;0.3834;0.4056;0.4487;1.00110104668963;16000
"p_B[10]";0.225590409613333;0.152083334767371;0.0328;0.1093;0.1919;0.308324996959706;0.6084;1.000987596792;75000
"p_B[11]";0.0271783034933333;0.00813570264278087;0.01445;0.02134;0.02609;0.0319;0.04604;1.00785800132424;290
"p_B[12]";0.412745948;0.0204351708074757;0.3733;0.3985;0.4129;0.4266;0.4522;1.00466295843633;550
"p_B[13]";0.473538618666667;0.0375533331743404;0.4016;0.4481;0.4734;0.4987;0.5481;1.00107702899474;20000
"p_B[14]";0.0660283992;0.020323201737304;0.03425;0.05145;0.06349;0.07767;0.1129;1.00230998809687;1500
"p_B[15]";0.312571008133333;0.139404780654416;0.1379;0.2041;0.2804;0.3908;0.6614;1.01122026557592;200
"p_B[16]";0.243357334053333;0.15421947907585;0.04445;0.1265;0.2096;0.3262;0.627102499805673;1.00150838287877;3800
"p_B[17]";0.260157193333333;0.0256928546647967;0.2114;0.2424;0.2594;0.2773;0.3124;1.00183541825236;2300
"p_B[18]";0.567825984;0.0215340429885297;0.5258;0.5534;0.5678;0.5824;0.6097;1.00406143257008;650
"p_B[19]";0.401338902666667;0.0241318183341263;0.3546;0.3852;0.4008;0.4177;0.4492;1.0020689639045;1800
"p_B[20]";0.39287292;0.0338485856735102;0.3281;0.3696;0.392;0.4152;0.4613;1.00217771170516;1700
"p_B[21]";0.405933856;0.0269562136189531;0.3533;0.3879;0.4061;0.4241;0.4593;1.00412598233328;770
"p_B[22]";0.321518930666667;0.0185651361307583;0.2863;0.3087;0.3211;0.3339;0.3592;1.00181330155057;2400
"p_B[23]";0.272636158666667;0.0381308866119188;0.2017;0.2461;0.2712;0.2976;0.351;1.00101755020919;51000
"p_B[24]";0.398322845333333;0.0416797138786332;0.319;0.3694;0.398;0.4261;0.4821;1.00653075418092;360
"p_B[25]";0.282805650666667;0.0167200140127996;0.2514;0.2712;0.2825;0.2939;0.3169;1.0014501276749;4200
"p_B[26]";0.300165785333333;0.0178583109059479;0.2668;0.2877;0.2998;0.3121;0.3359;1.00238818288223;1400
"p_B[27]";0.281779389333333;0.0392836578347459;0.2086;0.2549;0.2809;0.3073;0.3616;1.00572819737701;500
"p_B[28]";0.161053679733333;0.0248024539227305;0.1155;0.1441;0.16;0.1771;0.213;1.00394246790479;680
"p_B[29]";0.262190586666667;0.0202386280879753;0.2238;0.2483;0.262;0.2755;0.3033;1.00332831412586;850
"p_B[30]";0.449381798666667;0.0207792879512806;0.4082;0.4354;0.4492;0.4633;0.4902;1.00136685860043;5200
"p_B95";0.233053545786667;0.227108084232949;0.0195797499377344;0.0676074998613251;0.1453;0.3222;0.873;1.00674542494215;350
"p_B00";0.5614964284;0.218531156524481;0.213;0.383;0.5369;0.7351;0.9703;1.0099370439735;230
"p_B02";0.277736801626667;0.234225359522872;0.03198;0.0992149996220076;0.1969;0.3889;0.888404999451341;1.00535662001199;630
"p_Btot[1]";0.375932617333333;0.153712833172914;0.149;0.2569;0.3532;0.4587;0.7381;1.04330606627054;61
"p_Btot[2]";0.359465446666667;0.152996032764735;0.1506;0.2421;0.330249996214989;0.4456;0.7359;1.0465415231911;55
"p_Btot[3]";0.261618266533333;0.116900731773519;0.09883;0.1696;0.2477;0.3336;0.5425;1.04339438863053;72
"p_Btot[4]";0.446959568;0.129818896231112;0.2364;0.3573;0.4203;0.518949992774798;0.771502499842041;1.30981943726164;11
"p_Btot[5]";0.377016524;0.0367168745947849;0.3056;0.3526;0.3766;0.4014;0.4506;1.00410577056796;640
"p_Btot[6]";0.2467901696;0.145484115538071;0.06487;0.1371;0.2135;0.3171;0.639804999238199;1.1356850831502;20
"p_Btot[7]";0.2415023152;0.152414088942044;0.0685074982193513;0.1322;0.2019;0.3014;0.6662;1.04952329201636;58
"p_Btot[8]";0.319950198666667;0.0322306118112119;0.2595;0.2974;0.3188;0.3413;0.3856;1.00160502655535;3200
"p_Btot[9]";0.383621758666667;0.0330656937871943;0.3197;0.361;0.3834;0.4056;0.4487;1.00110104668963;16000
"p_Btot[10]";0.03930723728;0.0461792539022724;0.00476497499744193;0.0134;0.02382;0.04568;0.1728;1.00900351105487;290
"p_Btot[11]";0.0271783034933333;0.00813570264278087;0.01445;0.02134;0.02609;0.0319;0.04604;1.00785800132424;290
"p_Btot[12]";0.412745948;0.0204351708074757;0.3733;0.3985;0.4129;0.4266;0.4522;1.00466295843633;550
"p_Btot[13]";0.473538618666667;0.0375533331743404;0.4016;0.4481;0.4734;0.4987;0.5481;1.00107702899474;20000
"p_Btot[14]";0.0660283992;0.020323201737304;0.03425;0.05145;0.06349;0.07767;0.1129;1.00230998809687;1500
"p_Btot[15]";0.149442912;0.0255180377702442;0.1045;0.1314;0.1479;0.1657;0.2037;1.00193314316302;2100
"p_Btot[16]";0.0516462061733333;0.0513626293022455;0.00920989997882131;0.02169;0.03592;0.0621324998491209;0.1874;1.0074512546575;700
"p_Btot[17]";0.260157193333333;0.0256928546647967;0.2114;0.2424;0.2594;0.2773;0.3124;1.00183541825236;2300
"p_Btot[18]";0.567825984;0.0215340429885297;0.5258;0.5534;0.5678;0.5824;0.6097;1.00406143257008;650
"p_Btot[19]";0.401338902666667;0.0241318183341263;0.3546;0.3852;0.4008;0.4177;0.4492;1.0020689639045;1800
"p_Btot[20]";0.39287292;0.0338485856735102;0.3281;0.3696;0.392;0.4152;0.4613;1.00217771170516;1700
"p_Btot[21]";0.405933856;0.0269562136189531;0.3533;0.3879;0.4061;0.4241;0.4593;1.00412598233328;770
"p_Btot[22]";0.321518930666667;0.0185651361307583;0.2863;0.3087;0.3211;0.3339;0.3592;1.00181330155057;2400
"p_Btot[23]";0.272636158666667;0.0381308866119188;0.2017;0.2461;0.2712;0.2976;0.351;1.00101755020919;51000
"p_Btot[24]";0.398322845333333;0.0416797138786332;0.319;0.3694;0.398;0.4261;0.4821;1.00653075418092;360
"p_Btot[25]";0.282805650666667;0.0167200140127996;0.2514;0.2712;0.2825;0.2939;0.3169;1.0014501276749;4200
"p_Btot[26]";0.300165785333333;0.0178583109059479;0.2668;0.2877;0.2998;0.3121;0.3359;1.00238818288223;1400
"p_Btot[27]";0.281779389333333;0.0392836578347459;0.2086;0.2549;0.2809;0.3073;0.3616;1.00572819737701;500
"p_Btot[28]";0.161053679733333;0.0248024539227305;0.1155;0.1441;0.16;0.1771;0.213;1.00394246790479;680
"p_Btot[29]";0.262190586666667;0.0202386280879753;0.2238;0.2483;0.262;0.2755;0.3033;1.00332831412586;850
"p_Btot[30]";0.449381798666667;0.0207792879512806;0.4082;0.4354;0.4492;0.4633;0.4902;1.00136685860043;5200
"epsilon_B[1]";0.363701523478533;0.779395842627925;-1.066;-0.1648;0.3163;0.833725;2.05;1.03187272413135;77
