"","Bresle","Oir","Nivelle","Scorff"
"1984",4.77,NA,NA,NA
"1985",4.55,NA,16.97,NA
"1986",8.28,31.99,2.36,NA
"1987",8.54,42.42,2.51,NA
"1988",NA,46.6,2.98,NA
"1989",NA,9.42,2.08,NA
"1990",NA,6.59,4.36,NA
"1991",NA,22.61,7.39,NA
"1992",3.62,16.69,8.02,NA
"1993",2.99,18.94,4.86,NA
"1994",5.5,24.61,1.3,NA
"1995",2.54,34.37,2.1,9.81
"1996",2.05,5.22,2.67,21.4
"1997",4.48,38.48,2.3,5.71
"1998",2.45,21.17,2.34,4.97
"1999",8.86,91.95,2.26,11.23
"2000",7.3,9.62,4.07,9.95
"2001",NA,22.99,0.4,5.19
"2002",2.49,10.67,0.65,22.01
"2003",4.48,28.13,1.67,10.98
"2004",4.98,14.18,1.43,6.22
"2005",2.4,23.72,0.98,8.3
"2006",3.05,14.82,3.41,6.92
"2007",3.17,12.17,2.5,5
"2008",1.93,7.19,3.8,3.12
"2009",14.71,16.05,2.21,6.52
"2010",5.65,17.8,1.65,4.45
"2011",3.11,14.39,2.92,5.05
"2012",2.86,22.61,0.73,8.59
"2013",6.25,20.14,1.67,9.11
"2014",6.55,9.47,1.11,5.75
"2015",3.82,13.49,1.33,9.12
"2016",5.07,12.23,0.51,9.01
"2017",11.21,12.78,2.36,5.05
"2018",4.17,8.15,1.59,4.91
"2019",4.06,13.6,0.59,9.01
"2020",9.97,7,NA,5.15
"2021",NA,NA,NA,NA
"2022",NA,NA,NA,NA
