"Years","1SW","MSW","Total"
1984,45,27,72
1985,82,19,101
1986,124,20,144
1987,101,26,127
1988,54,12,66
1989,NA,NA,NA
1990,51,33,84
1991,121,19,140
1992,123,35,158
1993,NA,NA,NA
1994,27,6,33
1995,38,1,39
1996,21,18,39
1997,24,10,34
1998,181,11,192
1999,13,18,31
2000,NA,NA,NA
2001,NA,NA,NA
2002,68,17,85
2003,13,10,23
2004,52,10,62
2005,183,33,216
2006,79,72,151
2007,36,13,49
2008,82,4,86
2009,72,34,106
2010,108,27,135
2011,123,24,147
2012,99,24,123
2013,96,45,141
2014,64,30,94
2015,110,33,143
2016,128,15,143
2017,283,46,329
2018,76,30,106
2019,82,14,96
