"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,61,42,0.4,1.12
1985,100,30,0.42,1.17
1986,172,35,0.62,1.72
1987,132,40,0.56,1.54
1988,96,29,0.41,1.14
1989,173,39,0.66,1.83
1990,70,48,0.46,1.28
1991,160,27,0.55,1.52
1992,134,43,0.58,1.61
1993,46,26,0.28,0.77
1994,44,16,0.21,0.58
1995,114,7,0.32,0.88
1996,35,27,0.25,0.69
1997,31,13,0.16,0.44
1998,225,14,0.62,1.72
1999,28,55,0.4,1.12
2000,57,12,0.22,0.62
2001,89,16,0.33,0.91
2002,107,31,0.45,1.24
2003,27,21,0.2,0.55
2004,82,14,0.28,0.79
2005,260,49,0.91,2.53
2006,106,119,0.96,2.68
2007,74,21,0.31,0.85
2008,130,12,0.39,1.08
2009,85,47,0.48,1.35
2010,136,45,0.59,1.65
2011,134,34,0.52,1.45
2012,129,35,0.52,1.46
2013,133,74,0.77,2.13
2014,75,53,0.5,1.38
2015,153,47,0.65,1.8
2016,232,28,0.72,2.01
2017,315,63,1.13,3.13
2018,134,75,0.78,2.16
2019,136,31,0.52,1.44
2020,250,43,0.86,2.38
