# Table 8 - Index rivers :spawning stock and egg deposition and attainment of CLs -Bresle (2016) 
                                  CL =0 (with 3 eggs/m²) /! NOT revised from data
                 
"","1SW","MSW","eggs (million)","eggs/CL"
"1984",62,43,0.29,0.82
"1985",100,41,0.34,0.95
"1986",168,40,0.45,1.25
"1987",131,39,0.39,1.08
"1988",97,37,0.33,0.91
"1989",171,53,0.52,1.43
"1990",68,59,0.38,1.04
"1991",157,32,0.4,1.1
"1992",133,44,0.41,1.14
"1993",47,26,0.2,0.55
"1994",45,19,0.16,0.45
"1995",111,8,0.22,0.6
"1996",34,28,0.18,0.5
"1997",30,15,0.12,0.33
"1998",221,14,0.41,1.14
"1999",28,51,0.28,0.78
"2000",56,13,0.16,0.44
"2001",82,18,0.22,0.62
"2002",108,33,0.32,0.89
"2003",27,25,0.16,0.45
"2004",82,16,0.2,0.56
"2005",257,51,0.64,1.77
"2006",107,122,0.71,1.98
"2007",70,22,0.21,0.59
"2008",132,11,0.26,0.73
"2009",85,58,0.4,1.1
"2010",135,47,0.42,1.18
"2011",134,39,0.39,1.08
"2012",128,37,0.37,1.04
"2013",132,71,0.53,1.49
"2014",117,61,0.46,1.28
"2015",119,65,0.48,1.33
"2016",173,32,0.42,1.17
