"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,63,44,0.42,1.17
1985,101,38,0.47,1.3
1986,173,39,0.65,1.8
1987,135,42,0.58,1.61
1988,97,38,0.46,1.29
1989,175,49,0.72,2
1990,70,54,0.49,1.37
1991,160,30,0.56,1.56
1992,137,44,0.59,1.65
1993,48,27,0.28,0.78
1994,43,19,0.23,0.63
1995,109,8,0.31,0.87
1996,35,26,0.24,0.67
1997,31,14,0.16,0.44
1998,228,14,0.62,1.73
1999,27,53,0.38,1.07
2000,54,13,0.22,0.61
2001,89,17,0.34,0.94
2002,109,35,0.47,1.31
2003,26,25,0.21,0.59
2004,82,15,0.29,0.79
2005,261,49,0.91,2.53
2006,107,117,0.95,2.65
2007,71,22,0.3,0.84
2008,132,12,0.39,1.08
2009,86,56,0.54,1.5
2010,137,47,0.61,1.69
2011,136,36,0.54,1.5
2012,132,39,0.55,1.52
2013,137,77,0.79,2.21
2014,120,64,0.67,1.87
2015,120,65,0.67,1.86
2016,178,33,0.62,1.73
2017,450,61,1.43,3.98
