"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,65,16,0.26,0.18
1985,37,26,0.23,0.16
1986,182,29,0.56,0.39
1987,69,22,0.3,0.21
1988,76,14,0.24,0.16
1989,144,56,0.64,0.44
1990,217,37,0.78,0.54
1991,159,57,0.65,0.45
1992,184,55,0.79,0.55
1993,421,43,1.37,0.95
1994,281,44,1.01,0.7
1995,155,55,0.71,0.49
1996,139,39,0.63,0.44
1997,87,12,0.33,0.23
1998,139,12,0.36,0.25
1999,129,32,0.45,0.31
2000,133,29,0.42,0.29
2001,176,29,0.53,0.37
2002,378,37,1.07,0.74
2003,20,60,0.41,0.28
2004,77,16,0.27,0.19
2005,78,15,0.3,0.21
2006,33,31,0.26,0.18
2007,53,16,0.19,0.13
2008,56,28,0.33,0.23
2009,48,20,0.22,0.15
2010,137,21,0.37,0.26
2011,37,43,0.32,0.22
2012,72,17,0.23,0.16
2013,85,43,0.43,0.3
2014,75,48,0.39,0.27
2015,53,39,0.33,0.23
2016,58,23,0.22,0.15
2017,80,17,0.24,0.16
2018,35,29,0.24,0.16
2019,118,18,0.29,0.2
2020,67,50,0.41,0.29
2021,46,20,0.2,0.14
2022,12,40,0.14,0.1
