# Table 8 - Index rivers :spawning stock, egg deposition and attainment of CLs -Nivelle(2016)
"","1SW","MSW","eggs (million)","eggs/CL"
"1984",64,16,0.25,0.17
"1985",37,27,0.23,0.16
"1986",181,29,0.56,0.39
"1987",73,23,0.31,0.22
"1988",76,13,0.23,0.16
"1989",137,52,0.61,0.42
"1990",224,39,0.81,0.56
"1991",155,54,0.63,0.44
"1992",179,54,0.77,0.54
"1993",417,42,1.36,0.94
"1994",275,42,0.98,0.68
"1995",157,54,0.71,0.49
"1996",142,40,0.64,0.45
"1997",91,12,0.34,0.24
"1998",141,12,0.36,0.25
"1999",131,31,0.45,0.31
"2000",141,29,0.44,0.31
"2001",176,28,0.53,0.37
"2002",380,37,1.07,0.74
"2003",20,60,0.41,0.28
"2004",76,16,0.27,0.19
"2005",75,14,0.29,0.2
"2006",33,30,0.25,0.17
"2007",52,15,0.19,0.13
"2008",55,28,0.32,0.22
"2009",47,19,0.21,0.15
"2010",137,20,0.37,0.26
"2011",38,43,0.32,0.22
"2012",62,16,0.21,0.14
"2013",82,42,0.41,0.29
"2014",63,46,0.35,0.24
"2015",44,38,0.31,0.21
"2016",54,23,0.21,0.15
