"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,63,15,0.25,0.17
1985,37,26,0.22,0.15
1986,179,28,0.55,0.38
1987,69,21,0.3,0.21
1988,76,14,0.24,0.16
1989,145,54,0.63,0.44
1990,219,37,0.79,0.55
1991,157,55,0.64,0.45
1992,180,53,0.77,0.54
1993,420,42,1.36,0.95
1994,278,43,0.99,0.69
1995,155,54,0.71,0.49
1996,139,39,0.63,0.44
1997,88,12,0.33,0.23
1998,139,12,0.36,0.25
1999,130,32,0.45,0.31
2000,133,29,0.42,0.29
2001,176,29,0.53,0.37
2002,376,37,1.06,0.74
2003,20,60,0.4,0.28
2004,76,15,0.27,0.19
2005,77,14,0.3,0.21
2006,33,30,0.25,0.18
2007,52,15,0.19,0.13
2008,54,28,0.32,0.22
2009,46,19,0.21,0.15
2010,136,21,0.37,0.25
2011,37,43,0.32,0.22
2012,74,17,0.23,0.16
2013,85,43,0.43,0.3
2014,75,47,0.39,0.27
2015,55,39,0.34,0.23
2016,62,23,0.23,0.16
2017,80,17,0.24,0.17
