"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,227,31,0.5,4.15
1985,203,62,0.68,5.67
1986,64,44,0.34,2.85
1987,167,14,0.16,1.36
1988,125,71,0.61,5.11
1989,177,26,0.39,3.21
1990,77,18,0.23,1.88
1991,46,6,0.09,0.77
1992,36,7,0.13,1.08
1993,99,9,0.14,1.19
1994,40,14,0.23,1.93
1995,135,5,0.31,2.55
1996,248,12,0.57,4.76
1997,39,16,0.2,1.64
1998,150,14,0.33,2.73
1999,198,27,0.45,3.79
2000,221,29,0.68,5.67
2001,175,16,0.34,2.86
2002,279,34,0.71,5.92
2003,181,33,0.56,4.66
2004,322,72,1.18,9.86
2005,138,25,0.33,2.72
2006,174,36,0.62,5.13
2007,182,27,0.47,3.96
2008,93,19,0.37,3.08
2009,136,24,0.35,2.88
2010,468,24,1.05,8.77
2011,201,70,0.9,7.49
2012,199,49,0.44,3.64
2013,254,62,0.69,5.72
2014,220,54,0.76,6.37
2015,122,43,0.53,4.44
2016,270,30,0.63,5.24
2017,209,43,0.43,3.57
2018,181,42,0.67,5.62
2019,160,33,0.45,3.75
2020,147,22,0.4,3.35
2021,90,22,0.29,2.44
