"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,223,28,0.47,3.95
1985,200,59,0.66,5.5
1986,66,47,0.36,3.02
1987,162,13,0.16,1.29
1988,126,73,0.62,5.18
1989,177,26,0.38,3.2
1990,76,16,0.21,1.76
1991,46,5,0.09,0.73
1992,37,8,0.14,1.18
1993,102,10,0.15,1.26
1994,40,13,0.23,1.89
1995,134,3,0.29,2.43
1996,246,7,0.53,4.41
1997,39,6,0.12,0.99
1998,154,15,0.34,2.86
1999,200,30,0.47,3.94
2000,229,31,0.71,5.91
2001,175,15,0.34,2.84
2002,284,37,0.73,6.09
2003,180,32,0.56,4.63
2004,323,74,1.2,10
2005,138,24,0.32,2.66
2006,175,37,0.63,5.23
2007,182,28,0.48,4
2008,94,20,0.38,3.16
2009,136,25,0.36,2.97
2010,476,22,1.05,8.71
2011,203,71,0.91,7.62
2012,201,51,0.45,3.75
2013,256,63,0.69,5.76
2014,225,55,0.77,6.45
2015,120,45,0.54,4.53
2016,272,29,0.63,5.22
