"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,436,47,0.91,1.5
1995,651,40,1.2,2
1996,582,57,1.17,1.95
1997,410,28,0.77,1.28
1998,503,21,0.89,1.47
1999,231,65,0.66,1.09
2000,260,5,0.44,0.73
2001,282,31,0.58,0.97
2002,561,21,0.98,1.62
2003,226,39,0.53,0.84
2004,1019,53,1.84,2.92
2005,417,95,1.08,1.71
2006,817,75,1.62,2.57
2007,426,78,1.02,1.62
2008,274,71,0.75,1.19
2009,263,102,0.87,1.38
2010,700,62,1.38,2.19
2011,355,196,1.43,2.27
2012,348,115,1.07,1.5
2013,577,96,1.34,1.95
2014,625,125,1.54,2.24
2015,527,137,1.44,2.1
2016,489,67,1.07,1.56
2017,769,124,1.76,2.56
2018,283,120,0.98,1.43
2019,213,34,0.49,0.71
2020,429,36,0.84,1.22
2021,379,36,0.76,1.11
