# Table 8 - Index rivers :spawning stock and egg deposition and attainment of CLs -Scorff (2016) 
                 CL = 0.63 (with 3 eggs/m²) /! revised from data
                 
"","1SW","MSW","eggs (million)","eggs/CL"
"1984",NA,NA,NA,NA
"1985",NA,NA,NA,NA
"1986",NA,NA,NA,NA
"1987",NA,NA,NA,NA
"1988",NA,NA,NA,NA
"1989",NA,NA,NA,NA
"1990",NA,NA,NA,NA
"1991",NA,NA,NA,NA
"1992",NA,NA,NA,NA
"1993",NA,NA,NA,NA
"1994",500,57,1.06,1.76
"1995",667,42,1.24,2.06
"1996",580,55,1.16,1.93
"1997",400,32,0.78,1.29
"1998",500,21,0.88,1.47
"1999",225,61,0.63,1.04
"2000",252,3,0.42,0.69
"2001",280,34,0.59,0.99
"2002",539,20,0.94,1.56
"2003",229,40,0.54,0.86
"2004",1024,55,1.86,2.94
"2005",416,100.5,1.1,1.75
"2006",815,72,1.6,2.54
"2007",435,83,1.06,1.68
"2008",272,71,0.75,1.19
"2009",254,101,0.85,1.35
"2010",695,62,1.37,2.17
"2011",355,199,1.45,2.3
"2012",334,113,1.03,1.45
"2013",567,94,1.31,1.91
"2014",627,123,1.53,2.23
"2015",531,142,1.47,2.14
"2016",503,66,1.09,1.58
