"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,460,47,0.95,1.58
1995,640,40,1.19,1.97
1996,609,57,1.21,2.01
1997,413,29,0.78,1.3
1998,500,21,0.88,1.47
1999,224,65,0.65,1.07
2000,273,5,0.46,0.77
2001,277,31,0.58,0.96
2002,541,20,0.94,1.56
2003,226,39,0.53,0.84
2004,1022,53,1.84,2.92
2005,418,98,1.1,1.74
2006,815,75,1.62,2.56
2007,431,80,1.04,1.64
2008,272,72,0.75,1.19
2009,256,100,0.86,1.36
2010,698,60,1.37,2.17
2011,353,190,1.4,2.23
2012,345,113,1.05,1.48
2013,572,95,1.33,1.93
2014,629,123,1.54,2.24
2015,523,140,1.45,2.11
2016,493,68,1.08,1.57
2017,775,124,1.77,2.58
2018,283,121,0.99,1.43
