"Smolt year","Smolts","adults","global return rate (%)","1SW return rate (%)","MSW return rate (%)"
"1982","3713",NA,NA,NA,"1.1"
"1983","3809","92","2.42","1.6","0.81"
"1984","2785","133","4.78","3.55","1.22"
"1985","4601","211","4.59","3.72","0.87"
"1986","2005","166","8.28","6.58","1.7"
"1987","1756","147","8.37","5.98","2.39"
"1988",NA,"225",NA,NA,NA
"1989",NA,"106",NA,NA,NA
"1990",NA,"209",NA,NA,NA
"1991",NA,"161",NA,NA,NA
"1992","1777","65","3.66","2.64","1.01"
"1993","1737","52","2.99","2.59","0.4"
"1994","2455","135","5.5","4.44","1.06"
"1995","1848","48","2.6","1.89","0.7"
"1996","2195","45","2.05","1.41","0.64"
"1997","6293","282","4.48","3.58","0.91"
"1998","1676","41","2.45","1.73","0.72"
"1999","831","73","8.78","6.86","1.93"
"2000","1653","120","7.26","5.38","1.88"
"2001",NA,"131",NA,NA,NA
"2002","1789","49","2.74","1.9","0.84"
"2003","2977","133","4.47","2.82","1.65"
"2004","7613","378","4.97","3.43","1.54"
"2005","5248","126","2.4","2.02","0.38"
"2006","2755","84","3.05","2.61","0.44"
"2007","5521","174","3.15","2.3","0.85"
"2008","6616","128","1.93","1.27","0.67"
"2009","1147","169","14.73","11.77","2.96"
"2010","3008","170","5.65","4.49","1.16"
"2011","6421","200","3.11","1.99","1.12"
"2012","6397","183","2.86","2.05","0.81"
"2013","1937","121","6.25","3.82","2.43"
"2014","2719","179","6.58","5.55","1.03"
"2015","7599","290","3.82","2.99","0.83"
"2016","7796","395","5.07","4.05","1.01"
"2017","1488","167","11.22","9.07","2.15"
"2018","4491","186","4.14","3.16","0.98"
"2019","6747","275","4.08","3.57","0.5"
"2020","1697","174","10.25","7.72","2.53"
"2021","1730",NA,NA,"2.25",NA
"2022","2583",NA,NA,NA,NA
"10yr avg","3878.7","223.38","6.43","4.69","1.43"
