# Table 9 - juvenile and adult salmon  numbers (estim.) in-river return rate in the monitored rivers - Bresle (2016)
                  Nota : juvenile fish are smolts except in r. Nivelle which are parrs O+ (cohort parr 0+ = smolt.years -1). 
                  Adult numbers refer to the smolt year N: runs of N+1 and N+2
                  These are estimated trap-return numbers of wild fish except in 94-95 years in Nivelle when some stocked fish returned. 
                 Stocking is considered to adjust numbers
"smolt year","smolt","adults","survival rate (%)"
1982,4140,NA,NA
1983,3971,103,2.59
1984,2109.5,140,6.64
1985,5250,207,3.94
1986,1997,168,8.41
1987,2419,150,6.2
1988,NA,230,NA
1989,NA,100,NA
1990,NA,201,NA
1991,NA,159,NA
1992,2562,66,2.58
1993,1740,53,3.05
1994,2444,139,5.69
1995,2036,49,2.41
1996,1659,44,2.65
1997,6255,272,4.35
1998,1662,41,2.47
1999,643,74,11.51
2000,1773,115,6.49
2001,NA,133,NA
2002,2458,43,1.75
2003,2969,133,4.48
2004,7567,379,5.01
2005,5163,129,2.5
2006,2704,81,3
2007,5410,190,3.51
2008,6617,132,1.99
2009,1162.5,174,14.97
2010,2865,171,5.97
2011,6464,199,3.08
2012,6485.5,193,2.98
2013,1856,182,9.81
2014,2722,151,5.55
2015,7466,NA,NA
2016,7778,NA,NA
