"PARR 0+ year","0+ parr","adults","global return rate (%)","1SW return rate (%)","MSW return rate (%)"
"1984",NA,"377",NA,NA,NA
"1985","1247","223","17.88","15","2.89"
"1986","8075","190","2.35","1.49","0.87"
"1987","12062","297","2.46","2.11","0.35"
"1988","11446","330","2.88","2.34","0.54"
"1989","9515","222","2.33","1.76","0.58"
"1990","5793","254","4.38","3.59","0.79"
"1991","6827","519","7.6","6.88","0.72"
"1992","4733","393","8.3","7.12","1.18"
"1993","4484","228","5.08","4.06","1.03"
"1994","11075","180","1.63","1.52","0.11"
"1995","5011","124","2.47","2.22","0.26"
"1996","6844","195","2.85","2.32","0.53"
"1997","7238","177","2.45","1.99","0.46"
"1998","6637","163","2.46","2.02","0.44"
"1999","9636","226","2.35","1.95","0.39"
"2000","10725","452","4.21","3.62","0.6"
"2001","11841","50","0.42","0.26","0.16"
"2002","15003","103","0.69","0.59","0.09"
"2003","6876","119","1.73","1.28","0.45"
"2004","4385","64","1.46","1.07","0.39"
"2005","9037","93","1.03","0.72","0.31"
"2006","2367","82","3.46","2.58","0.89"
"2007","2984","76","2.55","1.68","0.87"
"2008","4958","191","3.85","2.96","0.89"
"2009","2633","59","2.24","1.63","0.61"
"2010","7027","119","1.69","1.08","0.61"
"2011","4571","136","2.98","1.88","1.09"
"2012","15225","114","0.75","0.49","0.26"
"2013","4531","77","1.7","1.19","0.51"
"2014","6598","75","1.14","0.88","0.26"
"2015","7915","108","1.36","1.01","0.35"
"2016","9913","52","0.52","0.35","0.17"
"2017","7006","169","2.41","1.7","0.71"
"2018","5382","87","1.62","1.26","0.35"
"2019","13654","82","0.6","0.33","0.27"
"2020","7916",NA,NA,"0.14",NA
"2021","32448",NA,NA,NA,NA
"2022","8524",NA,NA,NA,NA
"10yr avg","10388.7","92.86","1.34","0.86","0.37"
