"PARR 0+ year","0+ parr","adults","survival rate (%)"
1984,NA,376,NA
1985,1326,223,16.82
1986,8061,189,2.34
1987,11802,296,2.51
1988,11059,330,2.98
1989,10714,222,2.07
1990,5844,255,4.36
1991,6985,519,7.43
1992,4914,392,7.98
1993,4718,228,4.83
1994,13834,180,1.3
1995,5930,124,2.09
1996,7234.5,195,2.7
1997,7604,177,2.33
1998,6895.5,163,2.36
1999,9970,226,2.27
2000,10989.5,452,4.11
2001,12350,50,0.4
2002,15420,103,0.67
2003,7111,120,1.69
2004,4445,64,1.44
2005,9537,93,0.98
2006,2471,82,3.32
2007,3110,75,2.41
2008,5115,191,3.73
2009,2787,59,2.12
2010,7285,117,1.61
2011,4758,135,2.84
2012,15626,114,0.73
2013,4716,77,1.63
2014,6885,76,1.1
2015,8243,109,1.32
2016,10267,53,0.52
2017,7202,NA,NA
2018,5582,NA,NA
2019,14007,NA,NA
