"Smolt year","Smolts","adults","global return rate (%)","1SW return rate (%)","MSW return rate (%)"
"1984",NA,"247",NA,NA,NA
"1985",NA,"77",NA,NA,NA
"1986","744","238","31.99","22.45","9.54"
"1987","356","151","42.42","35.11","7.3"
"1988","412","192","46.6","42.96","3.64"
"1989","823","77","9.42","8.81","0.61"
"1990","804","53","6.59","5.72","0.87"
"1991","199","45","22.61","18.09","4.52"
"1992","671","112","16.69","14.9","1.79"
"1993","227","43","18.94","17.18","1.76"
"1994","577","142","24.61","23.22","1.39"
"1995","742","255","34.37","33.15","1.21"
"1996","996","52","5.22","3.92","1.31"
"1997","473","182","38.48","32.35","6.13"
"1998","1077","228","21.17","18.48","2.69"
"1999","261","240","91.95","86.21","5.75"
"2000","2162","208","9.62","8.05","1.57"
"2001","1370","315","22.99","20.66","2.34"
"2002","2362","252","10.67","7.62","3.05"
"2003","1230","346","28.13","26.26","1.87"
"2004","1227","174","14.18","11.25","2.93"
"2005","843","200","23.72","20.64","3.08"
"2006","1356","201","14.82","13.42","1.4"
"2007","953","116","12.17","9.65","2.52"
"2008","2157","155","7.19","6.17","1.02"
"2009","3383","543","16.05","14.01","2.04"
"2010","1410","251","17.8","14.33","3.48"
"2011","1800","259","14.39","11","3.39"
"2012","1358","307","22.61","18.78","3.83"
"2013","1296","261","20.14","16.9","3.24"
"2014","1574","149","9.47","7.62","1.84"
"2015","2306","311","13.49","11.71","1.78"
"2016","2003","245","12.23","10.33","1.9"
"2017","1651","211","12.78","10.84","1.94"
"2018","2222","181","8.15","7.16","0.99"
"2019","1235","168","13.6","11.9","1.7"
"2020","1329","93","7","6.47","0.53"
"2021","1355",NA,NA,"1.4",NA
"2022","825",NA,NA,NA,NA
"10yr avg","1579.6","202.38","12.11","9.37","1.74"
