"smolt year","smolt","adults","survival rate (%)"
1984,NA,248,NA
1985,NA,80,NA
1986,743,235,31.63
1987,355,151,42.54
1988,412,194,47.09
1989,824,83,10.07
1990,805,55,6.83
1991,199,48,24.12
1992,672,115,17.11
1993,227,44,19.38
1994,576,142,24.65
1995,741,256,34.55
1996,997,55,5.52
1997,479,184,38.41
1998,1077,231,21.45
1999,261,243,93.1
2000,2162,212,9.81
2001,1368,315,23.03
2002,2363,255,10.79
2003,1232,349,28.33
2004,1229,176,14.32
2005,844,204,24.17
2006,1357,204,15.03
2007,953,121,12.7
2008,2161,162,7.5
2009,3395,548,16.14
2010,1412,257,18.2
2011,1804,266,14.75
2012,1361,316,23.22
2013,1296,275,21.22
2014,1577,151,9.58
2015,2309,318,13.77
2016,2010,253,12.59
2017,1656,NA,NA
2018,2226,NA,NA
