"Smolt year","Smolts","adults","global return rate (%)","1SW return rate (%)","MSW return rate (%)"
"1984",NA,NA,NA,NA,NA
"1985",NA,NA,NA,NA,NA
"1986",NA,NA,NA,NA,NA
"1987",NA,NA,NA,NA,NA
"1988",NA,NA,NA,NA,NA
"1989",NA,NA,NA,NA,NA
"1990",NA,NA,NA,NA,NA
"1991",NA,NA,NA,NA,NA
"1992",NA,NA,NA,NA,NA
"1993",NA,"491",NA,NA,NA
"1994",NA,"695",NA,NA,NA
"1995","6231","597","9.58","9.1","0.48"
"1996","2003","427","21.32","20.22","1.1"
"1997","9965","558","5.6","4.91","0.69"
"1998","4772","234","4.9","4.8","0.1"
"1999","2613","299","11.44","10.26","1.19"
"2000","3174","296","9.33","8.63","0.69"
"2001","11980","598","4.99","4.67","0.32"
"2002","1244","278","22.35","18.17","4.18"
"2003","10120","1120","11.07","10.12","0.95"
"2004","7831","492","6.28","5.36","0.92"
"2005","10760","897","8.34","7.6","0.73"
"2006","7144","504","7.05","6.05","1.01"
"2007","7549","378","5.01","3.66","1.35"
"2008","10530","324","3.08","2.49","0.59"
"2009","13690","894","6.53","5.12","1.41"
"2010","10540","467","4.43","3.36","1.07"
"2011","8829","449","5.09","3.98","1.11"
"2012","8151","701","8.6","7.09","1.51"
"2013","8291","770","9.29","7.62","1.66"
"2014","10250","592","5.78","5.11","0.66"
"2015","6609","618","9.35","7.47","1.88"
"2016","9771","901","9.22","7.93","1.29"
"2017","6232","319","5.12","4.59","0.53"
"2018","4893","252","5.15","4.37","0.78"
"2019","5101",NA,NA,"8.51",NA
"2020","5053",NA,NA,NA,NA
"10yr avg","7318","575.25","7.2","6.3","1.18"
