# Table 9 - juvenile and adult salmon  numbers (estim.) in-river return rate in the monitored rivers - Scorff (2016)
                  Nota : juvenile fish are smolts except in r. Nivelle which are parrs O+ (cohort parr 0+ = smolt.years -1). 
                  Adult numbers refer to the smolt year N: runs of N+1 and N+2
                  These are estimated trap-return numbers of wild fish except in 94-95 years in Nivelle when some stocked fish returned. 
                 Stocking is considered to adjust numbers
"smolt year","smolt","adults","survival rate (%)"
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,542,NA
1994,NA,722,NA
1995,6258,612,9.78
1996,1986,421,21.2
1997,10000,561,5.61
1998,4755,228,4.79
1999,2613,286,10.95
2000,3165,300,9.48
2001,12050,579,4.8
2002,1237,284,22.96
2003,10120,1124.5,11.11
2004,7828,488,6.23
2005,10740,898,8.36
2006,7111,506,7.12
2007,7544,373,4.94
2008,10530,316,3
2009,13630,894,6.56
2010,10510,468,4.45
2011,8834,428,4.84
2012,8144.5,690,8.47
2013,8496,769,9.05
2014,10260,597,5.82
2015,6643,NA,NA
2016,9741,NA,NA
