"smolt year","smolt","adults","survival rate (%)"
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,514,NA
1994,NA,703,NA
1995,6219,633,10.18
1996,2003,438,21.87
1997,9982,566,5.67
1998,4749,240,5.05
1999,2613,296,11.33
2000,3171,293,9.24
2001,11990,585,4.88
2002,1242,278,22.38
2003,10120,1119,11.06
2004,7832,491,6.27
2005,10760,894,8.31
2006,7151,504,7.05
2007,7548,375,4.97
2008,10540,317,3.01
2009,13700,890,6.5
2010,10530,467,4.43
2011,8872,441,4.97
2012,8158,693,8.49
2013,8508,765,8.99
2014,10240,595,5.81
2015,6579,623,9.47
2016,9766,885,9.06
2017,6247,NA,NA
2018,4870,NA,NA
