"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,175,25,63,15
1985,1318,NA,86,51,37,26
1986,1453,NA,327,45,179,28
1987,3397,NA,187,49,69,21
1988,1416,NA,120,36,76,14
1989,1602,NA,254,69,144,54
1990,656,NA,268,42,218,37
1991,5846.5,NA,167,61,157,55
1992,4395,NA,209,55,180,53
1993,3926,NA,470,46,419,42
1994,3433,NA,337,49,277,43
1995,3315.5,NA,182,55,155,54
1996,6896,NA,168,46,139,39
1997,7608,NA,111,12,88,12
1998,6609,NA,159,13,139,12
1999,9741.5,NA,144,36,129,32
2000,10904,NA,135,33,133,29
2001,12417.5,NA,188,28,176,28
2002,15387.5,NA,388,38,377,37
2003,7129.5,NA,31,64,20,60
2004,3992,NA,89,19,76,16
2005,9456,NA,89,14,77,14
2006,2427.5,NA,47,31,33,30
2007,2914,NA,65,17,52,15
2008,5001.5,NA,61,28,54,28
2009,2696,NA,50,21,46,19
2010,7254.5,NA,147,26,136,21
2011,4748.5,NA,43,44,37,43
2012,15522.5,NA,74,16,74,16
2013,4700,NA,86,43,86,43
2014,6864,NA,75,49,75,47
2015,8270,NA,54,39,54,39
2016,10262.5,NA,59,23,59,23
2017,7186,NA,81,17,80,17
2018,5595,NA,36,28,36,28
2019,14020.5,NA,117,17,117,17
