"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1984",202.3425,15.9907211865634,177,191,200,211,239,1.00130883900885,3700
"1985",138.4777,12.9717126565047,118,129,137,146,168,1.00094688589645,10000
"1986",379.2058,30.5282302737051,330,357,376,397,447,1.00091706848484,10000
"1987",238.4723,14.3897372861327,215,228,237,247,271,1.00178064347496,1700
"1988",156.7465,14.0815718872817,134,147,155,165,189,1.00089840080613,10000
"1989",330.0846,31.239309087802,280,308,327,348,400,1.00089886533484,10000
"1990",314.5608,25.6396030055894,275,296,311,329,374,1.0011124212835,7000
"1991",231.7132,19.9648843077174,198.974938552914,217,230,244,276,1.00090675462246,10000
"1992",266.5733,17.251359020344,241,254,264,276,307,1.00112868794947,6500
"1993",519.0169,20.6175634540621,483,505,517,532,564,1.00137302303222,3200
"1994",388.7628,22.6613788187965,350,373,387,403,439,1.00099688414859,10000
"1995",238.7445,11.4401358130375,220,231,238,245,265,1.0008996363661,10000
"1996",215.306,5.64742006011006,206,211,215,219,228,1.00097025727117,10000
"1997",123.6827,4.4879432787734,117,120,123,126,134,1.00091222772883,10000
"1998",173.43,6.73955800955941,163,169,173,177,189,1.00090783992456,10000
"1999",180.9366,8.21113406980249,168,175,180,186,199,1.00129629912351,3800
"2000",168.372,10.9719485218186,151,160,167,175,194,1.0009257749054,10000
"2001",217.6176,9.50346262265402,202,211,217,223,239,1.0008990247804,10000
"2002",427.4167,17.2985891109224,398,415,426,438,465,1.00099354856228,10000
"2003",95.4652,6.01014152413352,86,91,95,99,109,1.00092473920429,10000
"2004",108.2142,6.86918022210019,97,103,107,112,124,1.00089921126554,10000
"2005",103.4524,7.67016410396402,91,98,102,108,121,1.00092080163952,10000
"2006",78.758,6.42756309628584,69,74,78,82,93,1.00091155093598,10000
"2007",83.0041,6.16284684688219,73,79,82,87,97,1.00122431096139,4600
"2008",90.2286,6.70237526727819,79,85.7489024298904,90,94,105,1.00091040792341,10000
"2009",71.7726,4.87081735709446,64,68,71,75,83,1.00107418998576,8500
"2010",173.666,8.41745385214171,160,168,173,178,193,1.00145133868428,2700
"2011",87.8269,5.12674992041495,80,84,87,91,100,1.00089843652554,10000
"2012",93.7295,14.1550897703491,71,84,92,102,126,1.00091226066274,10000
"2013",131.5476,9.99107183397453,115,124,131,138,154,1.0009054038107,10000
"2014",127.7468,15.7934617200698,102,117,126,137,164,1.00097665335428,10000
"2015",95.5779,11.8398205106738,76,87,94,102,123,1.00119817909711,5000
"2016",82.8798,10.4107728041216,66,75,82,89,107,1.0016443176787,2000
"2017",98.309,9.56424939483746,83,91,97,104,120,1.0009306659526,10000
"2018",64.8006,7.53517866621311,53,59,64,69,82,1.00090628729738,10000
"2019",138.1802,12.9311348838738,117,129,137,146,167,1.00099711017922,10000
"2020",122.5636,16.8842074935802,95,111,121,132,160,1.00105028910835,9900
"2021",66.3995,10.9323488498647,50,59,65,72,92,1.00091526349113,10000
"2022",52.4563,6.32973118384075,42,48,52,56,67,1.00096388891099,10000
"2023",42.991,8.4149034492385,30,37,42,48,63,1.0010325726158,10000
"2024",48.8166,5.519837977797,40,45,48,52,61,1.00138792683219,3100
