################################################################################			
### UPDATE WITH NA			
## e_2[t,g]: annual breeding escapement in the high catchment zone (UN + LUR) per breeding category; 1: male 1SW; 2: female 1SW; 3: male MSW; 4: female MSW"			
##    = number of fish released upstream Olha = NA until 1989, in 2000 and since 2012			
################################################################################			
e_2[,1]	e_2[,2]	e_2[,3]	e_2[,4]
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
36	40	1	5
33	19	1	10
54	49	1	13
133	118	1	10
69	56	2	10
57	52	4	6
34	67	2	21
18	39	1	5
47	45	1	7
46	46	5	7
NA	NA	NA	NA
73	53	1	14
97	106	1	14
2	9	8	18
12	9	0	3
20	19	0	5
8	6	3	9
18	12	3	5
10	9	0	13
21	11	0	11
52	39	7	8
8	9	12	13
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA # 2020
#END			
