################################################################################
## OMEGA[t,z]: annual redd count per zone. 1/ LN1 (from Ascain to Uxondoa), 2/ LN2 (from Uxondoa to Olha), 4/ UN, 5/ LUR
## /!\ Zone 3 does not exist
################################################################################
OMEGA[,1]	OMEGA[,2]	OMEGA[,4]	OMEGA[,5]
20	21	NA	NA
7	13	NA	NA
24	23	NA	NA
10	25	NA	NA
27	40	NA	NA
29	17	NA	NA
3	10	17	1
18	28	27	4
5	6	19	16
25	61	88	56
23	49	61	32
10	33	47	28
1	18	13	40
1	16	22	22
8	24	30	34
6	19	38	27
4	24	30	29
18	32	66	17
21	57	88	29
14	32	33	11
11	29	13	11
15	24	20	7
14	26	28	6
13	20	25	10
10	24	32	18
6	13	47	5
12	20	61	39
4	21	28	31
0	8	31	18
2	21	63	27
0	23	34	25
5	18	40	20
0	5	34	8
0	2	12	13
1	8	47	19
1	8	15	5
0	15	17	22
0	6	10	2
3	7	40	6
0	1	5	0 # 2023
#END			
