################################################################################
## ech_1SW_wild[t]: annual number of captured individuals 1SW of wild origin (sum of 1R/1SW and 2R/1SW)
## ech_MSW_wild[t]: annual number of captured individuals MSW of wild origin (sum of 1R/1SW and 2R/1SW)
# Wild origin : not issuing from smolts releases (wild reproduction or released as YOY)
# Only for the first 6 years affected by smolt releases
## ech_1SW_tot[t]: annual number of captured individuals 1SW (sum of 1R/1SW and 2R/1SW)
## ech_1.1SW[t]: annual number of captured individuals 1R/1SW
## ech_MSW_tot[t]: annual number of captured individuals MSW (1R/2SW, 2R/2SW, 1R3SW, 2R3SW, second spawning)
## ech_MSW[,1]: annual number of captured individuals 1R/2SW
## ech_MSW[,2]: annual number of captured individuals 2R/2SW
## ech_MSW[,3]: annual number of captured individuals 1R3SW
## ech_MSW[,4]: annual number of captured individuals 2R3SW
## ech_MSW[,5]: annual number of captured individuals second spawning
################################################################################
ech_1SW_wild[]  ech_MSW_wild[]  ech_1SW_tot[]	ech_1.1SW[]	ech_MSW_tot[]	ech_MSW[,1]	ech_MSW[,2]	ech_MSW[,3]	ech_MSW[,4]	ech_MSW[,5]
15	12  127	11  19	9	3	0	0	0 #1984
47  5   63	41	37	4	0	1	0	0 #1985
139 20  225	127	31	11	8	0	0	1  #1986
98  22  149	79	40	20	2	0	0	0  #1987
63  20  77	57	26	16	4	0	0	0  #1988
159	41  159	133 42	35	5	0	0	1 #1989
NA  NA  203	173	32	26	6	0	0	0
NA  NA  112	32	38	19	15	0	0	4
NA  NA  172	128	43	24	13	0	0	6
NA  NA  260	225	21	18	3	0	0	0
NA  NA  177	147	27	25	1	0	0	1
NA  NA  150	130	35	27	5	0	0	3
NA  NA  155	134	37	30	5	1	0	1
NA  NA  101	80	10	8	2	0	0	0
NA  NA  138	112	7	4	2	0	1	0
NA  NA  116	98	22	15	4	0	0	3
NA  NA  107	95	24	20	3	0	0	1
NA  NA  149	125	18	14	4	0	0	0
NA  NA  258	213	28	24	1	0	0	3
NA  NA  24	19	50	41	6	0	0	3
NA  NA  69	56	15	6	5	0	0	4
NA  NA  69	43	10	7	3	0	0	0
NA  NA  36	25	23	15	8	0	0	0
NA  NA  52	44	13	7	6	0	0	0
NA  NA  47	36	22	18	2	1	0	1
NA  NA  42	36	17	13	2	0	0	2
NA  NA  125	109	20	15	3	0	0	2
NA  NA  37	27	37	34	1	0	0	2
NA  NA  38	34	12	8	3	0	1	0
NA  NA  63	58	34	31	3	0	0	0
NA  NA  38	34	37	29	8	0	0	0
NA  NA  31	22	27	20	6	0	0	1
NA  NA  35	28	18	13	2	1	0	2
NA  NA  57	51	13	9	4	0	0	0
NA  NA  22	21	22	19	3	0	0	0
NA  NA  83	75	13	8	1	3	1	0
NA  NA  33	30	32	31	1	0	0	0	
NA  NA  25	25	14	14	0	0	0	0	
NA  NA  8 	8 	27  	26  	1	0	0	0
NA  NA  17 	15 	7  	7  	0	0	0	0	# 2023
#END							
