"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1984",202.23683,15.7924809822794,177,191,200,211,238,1.00101657233301,53000
"1985",138.68433,13.0752564821659,118,129,137,146,169,1.00158509282526,2500
"1986",377.33604,29.8985390336177,329,356,374,395,446,1.00173043752297,2000
"1987",238.46611,14.282163395992,215,228,237,247,271,1.0010578797261,22000
"1988",157.22558,14.0446725199223,134,147,156,166,189,1.00114215721804,9800
"1989",328.68334,30.2461993442176,279,307,326,347,397,1.00099961043467,1e+05
"1990",313.75158,25.0248638346285,275,296,310,328,372,1.00101416770428,58000
"1991",231.03565,19.7569669346012,198,217,229,243,276,1.00132669472424,4400
"1992",266.04628,16.916552245035,240,254,264,275,306,1.00121143080876,6700
"1993",518.34112,20.7774227025043,482,504,517,531,564,1.00110116956444,13000
"1994",388.50667,22.1717020400964,350,373,387,402,437,1.00101406506271,59000
"1995",238.95516,11.7088872381112,220,231,238,246,265,1.00099286423191,1e+05
"1996",215.22944,5.66286658565957,206,211,215,219,228,1.00098888383096,1e+05
"1997",123.81337,4.59889016405126,117,121,123,126,134,1.00099703073703,1e+05
"1998",173.48201,6.81857472566759,163,169,173,177,189,1.00100985664172,70000
"1999",180.98974,8.2780734472098,168,175,180,186,200,1.0010152847765,56000
"2000",168.26659,11.0010558586074,151,160,167,175,193,1.00110296275857,13000
"2001",217.88907,9.55088251046296,202,211,217,224,239,1.00175964963722,1900
"2002",426.59276,16.8655269719745,397,415,425,437,463,1.00113237775155,10000
"2003",95.74671,6.15769708155845,86,91,95,99,110,1.001045768332,26000
"2004",108.20776,6.87909797882615,97,103,107,112,124,1.00101212880422,64000
"2005",103.91112,7.77557746676409,92,98,103,108,122,1.00114651775648,9500
"2006",78.85283,6.4432822497514,69,74,78,83,94,1.00099241927313,1e+05
"2007",83.2089,6.15543984491741,73,79,82,87,97,1.00101355227931,60000
"2008",90.09976,6.64775374609339,79,85,89,94,105,1.0010298508997,36000
"2009",71.8379,4.91037724701953,64,68,71,75,83,1.00102102526983,46000
"2010",173.51387,8.47603362750293,160,168,173,178,193,1.00136498575557,4000
"2011",87.94565,5.10297917705577,80,84,87,91,100,1.00108733922343,15000
"2012",94.24559,14.3173665672761,71,84,93,103,127,1.00100557783142,88000
"2013",131.35718,9.96735551334251,115,124,130,137,154,1.00148255920112,3000
"2014",127.10939,15.3022196235433,102,116,125,136,162,1.0010328211648,34000
"2015",95.3066,11.8072024857841,76,87,94,102,122,1.00107770772715,17000
"2016",82.72096,10.4411698031719,66,75,81,89,107,1.00128467884202,5100
"2017",98.23249,9.53663713655808,83,91,97,104,120,1.00099930855734,1e+05
"2018",64.57521,7.43672081660089,53,59,64,69,82,1.00099086869026,1e+05
"2019",138.08027,12.8672647595409,117,129,137,146,168,1.00099853994237,1e+05
"2020",120.81548,16.5957803844491,94,109,119,131,158,1.00099341213977,1e+05
"2021",66.1477,10.8169623636559,50,58,65,72,92,1.00115616923514,9000
"2022",52.04179,6.16892082553679,42,48,51,56,66,1.0009897919202,1e+05
"2023",35.4926,5.71300723126763,27,31,35,39,49,1.00099348327003,1e+05
