"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"mup_11_1";0.2437019;0.0405207109316261;0.160697499241288;0.2171;0.244949994896918;0.2712;0.31420499844909
"sigmap_11_1";0.47249739;0.242551380048127;0.181492493950027;0.2946;0.420049997024164;0.573274985284499;1.13912473326617
"mup_11_2";0.12354566;0.0140559806401459;0.0955122377122364;0.114874991836586;0.123349989866234;0.1324;0.152307492807258
"sigmap_11_2";0.31649402;0.141331001041863;0.118594995884976;0.201549981388038;0.28804989151187;0.4131;0.6205
"mupi_U[1]";0.8769617;0.0185160797232654;0.839;0.865574998916863;0.8772;0.8893;0.911202499866257
"mupi_U[2]";0.8252007;0.0237985966542717;0.779797499843697;0.8084;0.825899993945998;0.841024998885333;0.869812496498365
"sigmapi_U[1]";0.6813823;0.129711449289516;0.475797499743817;0.5859;0.66344995289773;0.759449955571643;0.984529666387194
"sigmapi_U[2]";0.4594136;0.149380874614995;0.21985733900786;0.35689995795571;0.438649974353128;0.541149993071167;0.817124985096451
"mupi_EF";0.2527954;0.0525182004663166;0.165447172506777;0.220924791847473;0.248849994976894;0.278474969711925;0.377174710643311
"sigmapi_EF";0.7236774;0.317017125289734;0.332857393839778;0.517174998187151;0.650399992312423;0.844049782419888;1.64764504910714
"mup_n12[1]";0.6829066;0.0406036265736317;0.59932984009865;0.656174998571193;0.6843;0.709624998678942;0.757422486976288
"mup_n12[2]";0.6065404;0.0375807541292205;0.529864954842178;0.5834;0.606649997939504;0.6313;0.681304999284594
"mup_n12[3]";0.5167462;0.107883326319027;0.30616743254531;0.443499864631093;0.51799999034749;0.5882;0.728164887111206
"mup_n12[4]";0.4461812;0.0413920159637767;0.366987491690434;0.4164;0.4458;0.474124998022812;0.525812494208884
"sigmap_12[1]";0.8531256;0.184078327663404;0.548797499777898;0.723374894979764;0.8275;0.959474991207045;1.256
"sigmap_12[2]";0.6289282;0.13995071256234;0.403677475510558;0.5282;0.610049899598385;0.713224998685609;0.963637471571393
"sigmap_12[3]";1.5328384;0.574634254889432;0.688944914206398;1.14149967129285;1.436;1.82149979420103;2.96802499589461
"sigmap_12[4]";0.6367895;0.150526701377455;0.380862427820488;0.538349825748856;0.624999992;0.727424998711266;0.969212496857366
"mup_21";0.6498981;0.0334333769919685;0.573394999149613;0.630574998513183;0.651299992323046;0.672224998605447;0.707814993804672
