"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mup_11_1","0.24","0.043","0.162","0.211","0.238","0.267","0.332","1.001","6900"
"sigmap_11_1","0.561","0.103","0.376","0.496","0.554","0.616","0.782","1.001","6900"
"mup_11_2","0.104","0.014","0.079","0.095","0.104","0.113","0.133","1.001","4700"
"sigmap_11_2","0.546","0.09","0.373","0.491","0.544","0.601","0.734","1.001","5000"
"mupi_U[1]","0.885","0.014","0.856","0.876","0.885","0.895","0.911","1.001","6900"
"mupi_U[2]","0.819","0.028","0.761","0.802","0.821","0.839","0.872","1.001","6900"
"sigmapi_U[1]","0.544","0.074","0.405","0.494","0.541","0.59","0.699","1.001","6900"
"sigmapi_U[2]","0.535","0.089","0.361","0.478","0.533","0.59","0.721","1.001","3600"
"sigmapi_Ol","0.654","0.142","0.457","0.561","0.627","0.716","1.017","1.001","2700"
"eps_Ol[29]","0.932","0.664","-0.328","0.484","0.911","1.369","2.259","1.001","6900"
"eps_Ol[30]","1.611","0.63","0.446","1.169","1.589","2.017","2.909","1.001","6900"
"eps_Ol[31]","0.017","0.591","-1.133","-0.379","0.001","0.4","1.232","1.001","5000"
"eps_Ol[32]","0.083","0.601","-1.081","-0.322","0.068","0.486","1.318","1.001","6900"
"eps_Ol[33]","-0.398","0.679","-1.673","-0.857","-0.424","0.037","1.033","1.001","6900"
"eps_Ol[34]","0.092","0.709","-1.235","-0.398","0.058","0.533","1.598","1.001","6900"
"eps_Ol[35]","-0.569","0.686","-1.861","-1.024","-0.594","-0.134","0.85","1.001","6900"
"eps_Ol[36]","-0.214","0.59","-1.345","-0.613","-0.235","0.159","1.027","1.001","6900"
"eps_Ol[37]","-0.169","0.59","-1.312","-0.555","-0.182","0.219","1.009","1.001","6900"
"eps_Ol[38]","-2.003","0.748","-3.403","-2.513","-2.032","-1.523","-0.487","1.001","6900"
"eps_Ol[39]","0.514","0.669","-0.736","0.06","0.5","0.95","1.861","1.001","5800"
"eps_Ol[40]","-1.392","0.738","-2.816","-1.882","-1.414","-0.915","0.101","1.001","4000"
"eps_Ol[41]","0.535","0.779","-0.95","0.009","0.517","1.036","2.125","1.001","2600"
"mupi_EF","0.244","0.043","0.166","0.214","0.242","0.271","0.336","1.003","860"
"sigmapi_EF","0.595","0.108","0.425","0.525","0.581","0.648","0.844","1.001","6900"
"mup_n12[1]","0.703","0.034","0.632","0.681","0.704","0.727","0.766","1.002","2000"
"mup_n12[2]","0.602","0.035","0.531","0.579","0.603","0.627","0.669","1.002","2200"
"mup_n12[3]","0.585","0.064","0.456","0.541","0.586","0.628","0.707","1.001","6900"
"mup_n12[4]","0.509","0.039","0.435","0.483","0.508","0.535","0.586","1.001","6900"
"sigmap_12[1]","0.623","0.101","0.463","0.554","0.608","0.678","0.86","1.001","6200"
"sigmap_12[2]","0.579","0.086","0.43","0.522","0.572","0.629","0.771","1.001","4200"
"sigmap_12[3]","0.663","0.189","0.439","0.551","0.622","0.719","1.17","1.001","6900"
"sigmap_12[4]","0.602","0.095","0.44","0.538","0.592","0.656","0.818","1.001","6900"
"mup_21","0.659","0.029","0.601","0.64","0.659","0.678","0.716","1.001","6900"
"sigmap_21","0.562","0.083","0.409","0.508","0.557","0.614","0.744","1.001","6900"
"p_11_1[1]","0.227","0.052","0.133","0.19","0.224","0.26","0.336","1.001","2600"
"p_11_1[2]","0.211","0.058","0.11","0.169","0.207","0.249","0.337","1.001","6900"
"p_11_1[3]","0.255","0.051","0.164","0.219","0.252","0.287","0.363","1.002","3400"
"p_11_1[4]","0.154","0.04","0.084","0.125","0.15","0.18","0.241","1.001","4400"
"p_11_1[5]","0.282","0.056","0.179","0.242","0.279","0.319","0.396","1.001","6900"
"p_11_1[6]","0.355","0.057","0.246","0.315","0.354","0.393","0.471","1.003","790"
"p_11_1[7]","0.18","0.058","0.081","0.138","0.176","0.218","0.307","1.002","1800"
"p_11_1[8]","0.281","0.057","0.177","0.241","0.279","0.318","0.398","1.001","6900"
"p_11_2[9]","0.138","0.049","0.061","0.102","0.132","0.167","0.251","1.001","6900"
"p_11_2[10]","0.142","0.03","0.089","0.121","0.14","0.16","0.208","1.001","6900"
"p_11_2[11]","0.158","0.037","0.093","0.132","0.155","0.181","0.235","1.001","6900"
