"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
181800	193500	542700	288000	183600	692100	736200	621900	738000	1339000	1067000	614700	674100	319500	364500	486900	419400	576900	1040000	401400	266400	257400	233100	189000	299700	197100	330300	283500	193500	450900	346500	329400	230400	264600	299700	272700	482400	188100
264600	176400	595800	216900	199800	624600	729000	659700	801900	1342000	947700	679500	632700	319500	358200	430200	384300	522900	1053000	442800	303300	313200	240300	177300	287100	191700	378900	316800	205200	473400	486900	411300	257400	238500	224100	280800	365400	179100
239400	176400	480600	234000	195300	564300	759600	693000	719100	1319000	1027000	796500	669600	326700	404100	495900	480600	505800	1134000	359100	281700	257400	311400	209700	337500	225000	392400	343800	196200	432900	391500	343800	243900	251100	256500	322200	430200	165600
238500	270000	509400	354600	270000	549900	805500	601200	703800	1386000	1034000	715500	663300	333000	395100	556200	456300	623700	1045000	421200	272700	259200	220500	215100	312300	180000	409500	286200	251100	462600	359100	386100	208800	252900	252000	261900	398700	165600
242100	232200	703800	287100	180900	615600	949500	758700	806400	1347000	1022000	737100	611100	342900	355500	548100	475200	563400	1085000	348300	277200	355500	245700	189900	345600	198900	381600	322200	219600	461700	335700	348300	239400	235800	200700	243900	355500	184500
245700	162900	573300	278100	221400	746100	839700	774900	746100	1400000	1034000	699300	655200	307800	377100	440100	472500	538200	982800	407700	269100	326700	243900	177300	331200	230400	387000	327600	241200	423900	436500	328500	262800	252000	252900	300600	338400	202500
292500	148500	461700	227700	196200	698400	701100	653400	820800	1333000	1062000	750600	683100	326700	353700	420300	433800	518400	1057000	414900	245700	289800	282600	181800	298800	203400	386100	326700	198900	435600	321300	266400	202500	219600	203400	279000	486900	184500
264600	207900	619200	237600	263700	688500	721800	643500	736200	1368000	902700	669600	613800	335700	378000	415800	449100	484200	1041000	387900	237600	296100	230400	187200	321300	199800	369900	311400	208800	431100	351900	353700	222300	234000	253800	290700	494100	149400
245700	243000	554400	410400	270900	613800	764100	641700	841500	1302000	1049000	645300	689400	340200	382500	444600	405900	586800	1123000	395100	279000	308700	264600	198900	319500	211500	417600	382500	262800	433800	487800	351900	261000	270000	190800	382500	341100	171000
383400	220500	528300	223200	225900	529200	759600	637200	745200	1322000	992700	698400	622800	326700	341100	437400	414900	571500	1008000	384300	255600	301500	218700	184500	348300	195300	365400	321300	244800	495000	415800	381600	244800	306000	211500	279900	564300	173700
227700	148500	538200	341100	240300	627300	890100	924300	813600	1321000	1002000	773100	669600	342900	391500	468900	379800	519300	1063000	420300	238500	312300	252000	216000	275400	221400	338400	336600	325800	486900	387000	340200	243000	310500	279000	266400	431100	173700
