## Mettre à jour en recopiant les 17 dernières lignes pour les colonnes Z, S, H /!\ Conserver l'ordre;;;;;;;
## Y est l'année donc ajouter le nouvel index de l'année (17 lignes);;;;;;;
## Site: mettre à jour en incrémentant de un en un (17 lignes);;;;;;;
## Nat: idem que Site;;;;;;;
Site;Nat;Comp;Res;Y;Z;S;H
1;1;;;2;3;362;1
2;2;;;2;3;408;1
3;3;;;2;3;230;1
4;4;;;2;3;1281;1
5;5;;;2;3;449;1
6;6;;;2;3;674;1
7;7;;;2;3;378;2
8;8;;;2;3;118;2
9;9;;;2;3;340;2
10;10;;;2;3;706;2
11;11;;;3;3;362;1
12;12;;;3;3;408;1
13;13;;;3;3;230;1
14;14;;;3;3;1462;1
15;15;;;3;3;449;1
16;16;;;3;3;574;1
17;17;;;3;3;378;2
18;18;;;3;3;118;2
19;19;;;3;3;340;2
20;20;;;3;3;706;2
21;21;;;4;3;362;1
22;22;;;4;3;408;1
23;23;;;4;3;230;1
24;24;;;4;3;1462;1
25;25;;;4;3;449;1
26;26;;;4;3;574;1
27;27;;;4;3;232;2
28;28;;;4;3;118;2
29;29;;;4;3;340;2
30;30;;;4;3;706;2
31;31;;;5;3;362;1
32;32;;;5;3;247;1
33;33;;;5;3;310;1
34;34;;;5;3;1462;1
35;35;;;5;3;449;1
36;36;;;5;3;574;1
37;37;;;5;3;378;2
38;38;;;5;3;118;2
39;39;;;5;3;677;2
40;40;;;5;3;706;2
41;41;;;6;3;362;1
42;42;;;6;3;247;1
43;43;;;6;3;271.5;1
44;44;;;6;3;1462;1
45;45;;;6;3;574;1
46;46;;;6;3;232;2
47;47;;;6;3;118;2
48;48;;;6;3;519.9;2
49;49;;;6;3;706;2
50;50;;;7;3;362;1
51;51;;;7;3;247;1
52;52;;;7;3;271.5;1
53;53;;;7;3;2092;1
54;54;;;7;3;574;1
55;55;;;7;3;378;2
56;56;;;7;3;118;2
57;57;;;7;3;298.5;2
58;58;;;7;3;706;2
59;59;;;8;3;362;1
60;60;;;8;3;408;1
61;61;;;8;3;198;1
62;62;;;8;3;1462;1
63;63;;;8;3;574;1
64;64;;;8;3;232;2
65;65;;;8;3;118;2
66;66;;;8;3;165;2
67;67;;;8;3;706;2
68;68;;;9;3;1462;1
69;69;;;9;3;574;1
70;70;;;9;3;706;2
71;71;;;10;3;408;1
72;72;;;10;3;395;1
73;73;;;10;3;1462;1
74;74;;;10;3;574;1
75;75;;;10;3;279;2
76;76;;;10;3;95;2
77;77;;;10;3;706;2
78;78;;;11;3;362;1
79;79;;;11;3;408;1
80;80;;;11;3;230;1
81;81;;;11;3;1462;1
82;82;;;11;3;574;1
83;83;;;11;3;232;2
84;84;;;11;3;118;2
85;85;;;11;3;260;2
86;86;;;11;3;706;2
87;87;;;12;3;362;1
88;88;;;12;3;408;1
89;89;;;12;3;230;1
90;90;;;12;3;1462;1
91;91;;;12;3;574;1
92;92;;;12;3;232;2
93;93;;;12;3;118;2
94;94;;;12;3;260;2
95;95;;;12;3;706;2
96;96;;;14;3;362;1
97;97;;;14;3;209.13;1
98;98;;;14;3;1462;1
99;99;;;14;3;574;1
100;100;;;14;3;110;1
101;101;;;14;3;232;2
102;102;;;14;3;185.87;2
103;103;;;14;3;706;2
104;104;;;17;3;362;1
105;105;;;17;3;120;1
106;106;;;17;3;209.13;1
107;107;;;17;3;1462;1
108;108;;;17;3;587;1
109;109;;;17;3;528;2
110;110;;;17;3;185.87;2
111;111;;;17;3;706;2
112;112;;;17;3;348;2
113;113;;;18;3;362;1
114;114;;;18;3;181;1
115;115;;;18;3;335.13;1
116;116;;;18;3;2092;1
117;117;;;18;3;382.5;1
118;118;;;18;3;232;2
119;119;;;18;3;39;2
120;120;;;18;3;677;2
121;121;;;18;3;706;2
122;122;;;18;3;191.3;2
123;123;;;19;3;362;1
124;124;;;19;3;160;1
125;125;;;19;3;198;1
126;126;;;19;3;639.6;1
127;127;;;19;3;574;1
128;128;;;19;3;674;2
129;129;;;19;3;60;2
130;130;;;19;3;165;2
131;131;;;19;3;706;2
132;132;;;20;3;362;1
133;133;;;20;3;1055;1
134;134;;;20;3;587;1
135;135;;;20;3;674;2
136;136;;;20;3;39;2
137;137;;;20;3;677;2
138;138;;;20;3;706;2
139;139;;;20;3;348;2
140;140;;;21;3;362;1
141;141;;;21;3;220;1
142;142;;;21;3;484.8;1
143;143;;;21;3;674;2
144;144;;;21;3;677;2
145;145;;;21;3;706;2
146;146;;;21;3;89.2;2
147;147;;;22;3;362;1
148;148;;;22;3;1055;1
149;149;;;22;3;587;1
150;150;;;22;3;232;2
151;151;;;22;3;39;2
152;152;;;22;3;697.87;2
153;153;;;22;3;706;2
154;154;;;22;3;174;2
155;155;;;8;4;523;1
156;156;;;8;4;1138;1
157;157;;;8;4;465;1
158;158;;;8;4;911;1
159;159;;;8;4;1232;1
160;160;;;8;4;858;1
161;161;;;8;4;195;2
162;162;;;8;4;366;2
163;163;;;8;4;1191;2
164;164;;;9;4;523;1
165;165;;;9;4;1138;1
166;166;;;9;4;465;1
167;167;;;9;4;858;1
168;168;;;9;4;195;2
169;169;;;9;4;366;2
170;170;;;10;4;523;1
171;171;;;10;4;1138;1
172;172;;;10;4;465;1
173;173;;;10;4;911;1
174;174;;;10;4;858;1
175;175;;;10;4;195;2
176;176;;;10;4;528;2
177;177;;;10;4;1191;2
178;178;;;11;4;523;1
179;179;;;11;4;1138;1
180;180;;;11;4;465;1
181;181;;;11;4;911;1
182;182;;;11;4;858;1
183;183;;;11;4;195;2
184;184;;;11;4;531;2
185;185;;;11;4;2066;2
186;186;;;12;4;523;1
187;187;;;12;4;1138;1
188;188;;;12;4;465;1
189;189;;;12;4;364;1
190;190;;;12;4;858;1
191;191;;;12;4;195;2
192;192;;;12;4;531;2
193;193;;;12;4;1738;2
194;194;;;14;4;523;1
195;195;;;14;4;1138;1
196;196;;;14;4;465;1
197;197;;;14;4;911;1
198;198;;;14;4;858;1
199;199;;;14;4;364;2
200;200;;;14;4;531;2
201;201;;;14;4;2066;2
202;202;;;18;4;523;1
203;203;;;18;4;886;1
204;204;;;18;4;353.6;1
205;205;;;18;4;334;1
206;206;;;18;4;858;1
207;207;;;18;4;195;2
208;208;;;18;4;531;2
209;209;;;18;4;111.4;2
210;210;;;18;4;2066;2
211;211;;;20;4;195;2
212;212;;;20;4;486.4;2
213;213;;;20;4;84.7;2
214;214;;;20;4;2066;2
215;215;;;8;5;710;1
216;216;;;8;5;596;1
217;217;;;8;5;762;2
218;218;;;9;5;710;1
219;219;;;9;5;596;1
220;220;;;9;5;762;2
221;221;;;10;5;710;1
222;222;;;10;5;518;1
223;223;;;10;5;123;2
224;224;;;10;5;840;2
225;225;;;11;5;931;1
226;226;;;11;5;483;1
227;227;;;11;5;123;2
228;228;;;11;5;875;2
229;229;;;12;5;1064;1
230;230;;;12;5;405;1
231;231;;;12;5;123;2
232;232;;;12;5;953;2
233;233;;;14;5;931;1
234;234;;;14;5;405;1
235;235;;;14;5;123;2
236;236;;;14;5;953;2
237;237;;;17;5;931;1
238;238;;;17;5;518;1
239;239;;;17;5;123;2
240;240;;;17;5;164;2
241;241;;;18;5;931;1
242;242;;;18;5;518;1
243;243;;;18;5;123;2
244;244;;;18;5;840;2
245;245;;;20;5;156;1
246;246;;;20;5;123;2
247;247;;;20;5;1202;2
248;;1;;13;3;362;1
249;;2;;13;3;247;1
250;;3;;13;3;209.13;1
251;;4;;13;3;1462;1
252;;5;;13;3;574;1
253;;6;;13;3;232;2
254;;7;;13;3;185.87;2
255;;8;;13;3;706;2
256;;9;;15;3;362;1
257;;10;;15;3;209.13;1
258;;11;;15;3;1462;1
259;;12;;15;3;574;1
260;;13;;15;3;232;2
261;;14;;15;3;185.87;2
262;;15;;15;3;706;2
263;;16;;16;3;362;1
264;;17;;16;3;209.13;1
265;;18;;16;3;1462;1
266;;19;;16;3;574;1
267;;20;;16;3;232;2
268;;21;;16;3;697.87;2
269;;22;;16;3;706;2
270;;23;;13;4;523;1
271;;24;;13;4;1138;1
272;;25;;13;4;911;1
273;;26;;13;4;858;1
274;;27;;13;4;195;2
275;;28;;13;4;531;2
276;;29;;13;4;756;2
277;;30;;15;4;523;1
278;;31;;15;4;1138;1
279;;32;;15;4;465;1
280;;33;;15;4;364.4;1
281;;34;;15;4;858;1
282;;35;;15;4;195;2
283;;36;;15;4;531;2
284;;37;;15;4;1856.6;2
285;;38;;16;4;523;1
286;;39;;16;4;1138;1
287;;40;;16;4;465;1
288;;41;;16;4;911;1
289;;42;;16;4;858;1
290;;43;;16;4;195;2
291;;44;;16;4;531;2
292;;45;;16;4;2066;2
293;;46;;17;4;523;1
294;;47;;17;4;1138;1
295;;48;;17;4;465;1
296;;49;;17;4;911;1
297;;50;;17;4;858;1
298;;51;;17;4;195;2
299;;52;;17;4;531;2
300;;53;;17;4;2066;2
301;;54;;19;4;523;1
302;;55;;19;4;1138;1
303;;56;;19;4;465;1
304;;57;;19;4;911;1
305;;58;;19;4;858;1
306;;59;;19;4;195;2
307;;60;;19;4;570;2
308;;61;;19;4;2066;2
309;;62;;21;4;195;2
310;;63;;21;4;531;2
311;;64;;21;4;2066;2
312;;65;;22;4;465;1
313;;66;;22;4;911;1
314;;67;;22;4;195;2
315;;68;;22;4;531;2
316;;69;;22;4;2066;2
317;;70;;13;5;931;1
318;;71;;13;5;405;1
319;;72;;13;5;953;2
320;;73;;15;5;710;1
321;;74;;15;5;682;1
322;;75;;15;5;123;2
323;;76;;15;5;676;2
324;;77;;16;5;710;1
325;;78;;16;5;405;1
326;;79;;16;5;123;2
327;;80;;16;5;277;2
328;;81;;19;5;931;1
329;;82;;19;5;156;1
330;;83;;19;5;123;2
331;;84;;19;5;1202;2
332;;85;;21;5;123;2
333;;86;;21;5;867;2
334;;87;;22;5;518;1
335;;88;;22;5;123;2
336;;89;;22;5;840;2
337;;;1;3;4;523;1
338;;;2;3;4;1138;1
339;;;3;3;4;465;1
