=============================
DIAGNOSTICS
=============================
Number of chains:  2 
Number of iterations:  50000 
2023 - Nivelle - tacon 
[1] "model/model_tacon-Nivelle.R"
[1] "2023"
2023 - Nivelle - adult 
[1] "model/model_adult-Nivelle.R"
RStudioGD 
        2 
                           mean           sd          2.5%          25%         50%          75%         97.5%     Rhat  n.eff
mup_11_1           2.387248e-01 4.264884e-02  1.618000e-01  2.09300e-01  2.3630e-01  2.65600e-01  3.292000e-01 1.001016  55000
sigmap_11_1        5.578057e-01 9.981578e-02  3.793000e-01  4.94500e-01  5.5110e-01  6.12500e-01  7.781000e-01 1.001008  78000
mup_11_2           1.057653e-01 1.404888e-02  7.967975e-02  9.60700e-02  1.0520e-01  1.14900e-01  1.350000e-01 1.000991 100000
sigmap_11_2        5.435521e-01 8.819415e-02  3.743000e-01  4.86700e-01  5.4120e-01  5.96800e-01  7.286000e-01 1.001435   3400
mupi_U[1]          8.845412e-01 1.392314e-02  8.556000e-01  8.75600e-01  8.8520e-01  8.94100e-01  9.104000e-01 1.000990 100000
mupi_U[2]          8.219005e-01 2.743054e-02  7.653000e-01  8.03900e-01  8.2320e-01  8.41100e-01  8.724000e-01 1.001340   4300
sigmapi_U[1]       5.420406e-01 7.402740e-02  4.025975e-01  4.92700e-01  5.3960e-01  5.88400e-01  6.966000e-01 1.001082  16000
sigmapi_U[2]       5.384409e-01 8.809473e-02  3.677000e-01  4.82100e-01  5.3650e-01  5.92300e-01  7.201000e-01 1.001138  10000
sigmapi_Ol         6.384555e-01 1.326337e-01  4.498000e-01  5.51600e-01  6.1490e-01  6.97100e-01  9.690025e-01 1.001106  13000
eps_Ol[29]         9.272519e-01 6.704616e-01 -3.379000e-01  4.73400e-01  9.0910e-01  1.36300e+00  2.299000e+00 1.001057  22000
eps_Ol[30]         1.652014e+00 6.294273e-01  4.868950e-01  1.21900e+00  1.6300e+00  2.06200e+00  2.948000e+00 1.001273   5300
eps_Ol[31]         3.229775e-02 5.995578e-01 -1.116000e+00 -3.72300e-01  2.2525e-02  4.27200e-01  1.239000e+00 1.000998 100000
eps_Ol[32]         9.650698e-02 6.139871e-01 -1.100000e+00 -3.13600e-01  9.0515e-02  5.00500e-01  1.329025e+00 1.000990 100000
eps_Ol[33]        -3.939820e-01 6.771081e-01 -1.671000e+00 -8.50500e-01 -4.1730e-01  3.88925e-02  1.004000e+00 1.000992 100000
eps_Ol[34]         9.925556e-02 7.046844e-01 -1.184000e+00 -3.79300e-01  5.9440e-02  5.43300e-01  1.596000e+00 1.001248   5800
eps_Ol[35]        -5.592244e-01 6.804139e-01 -1.849000e+00 -1.01400e+00 -5.8020e-01 -1.22675e-01  8.412025e-01 1.001001 100000
eps_Ol[36]        -1.818503e-01 5.906162e-01 -1.307000e+00 -5.77400e-01 -1.9580e-01  1.99900e-01  1.023000e+00 1.000990 100000
