"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
NA	NA	NA	NA	NA	NA	NA	NA	NA
1348.09341500766	265.706409873365	909.875	959.75	1158	1327.5	1498.75	1819.5	1952.375
8076.67381316998	590.474238292977	6995	7136.25	7666.25	8036	8453.75	9109.5	9339.5
11789.9264931087	733.229274196657	10380.25	10592	11285	11786	12292.5	13040.5	13240.5
11087.7289433384	1089.85595520708	9041.875	9437.25	10311.5	11046.5	11797.25	12957.5	13368.25
10692.5076569678	883.567472080714	9042.125	9269	10134	10657	11265	12162.5	12462.125
5859.39203675345	539.6065796011	4914.75	5035.25	5487.25	5832.5	6199	6810.5	6970.5
7018.44333843798	847.683658512781	5606.75	5782.25	6419	6956.5	7530.5	8531.5	8887.375
5006.52986217458	917.444944148884	3428.5	3677.25	4328.25	4948.5	5572.75	6613.75	7049.625
4761.25880551302	719.579095002453	3566.125	3695.25	4239	4697.5	5223.75	6053.75	6363.75
13914.5865237366	1778.05647323414	10742.625	11163.5	12686	13784.5	14965.5	17114.75	17716.625
5946.43415007657	737.805628515325	4621.125	4826.5	5450.5	5898.5	6396	7242.5	7551.375
7315.28943338438	1204.87283270229	5268.25	5553	6490.25	7228	8019.25	9460.25	9958.125
7698.85604900459	1143.20626516077	5703.875	5968	6876.25	7634.5	8386.5	9682.75	10192.625
6939.69601837672	1028.36063650458	5147	5349.25	6254.25	6861.5	7577.75	8794.75	9219.375
9984.67534456355	1176.48096816924	7900.375	8184	9170.25	9933.5	10733	11961.25	12593.375
11065.1194486983	1204.87182299986	8903.75	9199	10216	11004.5	11781.25	13213.75	13640.25
12397.3690658499	1510.69140094751	9645.25	10071.5	11311	12344	13380.5	14975.75	15746.75
15432.0727411945	1803.50812803401	12244.25	12606	14190	15313	16607.25	18658.75	19204.75
7148.59954058193	829.090360404862	5577.125	5807.25	6606.25	7111	7672.75	8566.5	8862.25
4468.07274119449	573.911739839951	3403	3560.25	4066.25	4459	4851.75	5445.5	5620.75
9573.52679938744	1095.16898031757	7607	7882.25	8812.25	9552.5	10269.75	11525.5	11867
2495.52526799387	554.660942765943	1586.875	1703	2109.5	2430	2835.75	3470.75	3687.25
3173.43338437979	666.837345223141	2058.75	2210	2707.25	3110	3553.25	4304	4615.125
5176.44793261868	935.759074733403	3580.625	3772.25	4524.25	5096.5	5772.5	6789.5	7226.125
2818.15926493109	608.127827907106	1781.25	1910.25	2371.25	2770.5	3194.75	3863.5	4190.875
7408.36294027565	1334.43473818403	5079	5492.5	6452	7283.5	8245	9797.25	10241.25
4788.46784073507	920.960103365943	3264	3446.5	4115.25	4725	5372	6377	6774
15672.0290964778	2309.94983788802	11564.5	12107.25	14120.5	15479	17066.75	19881.5	20995.625
4759.33231240429	907.754062164728	3053.5	3338.25	4168	4705	5306	6368	6720.875
6995.35911179173	1198.33663791099	4887.875	5195	6157	6892.5	7760.25	9116.5	9599.875
8344.09111791731	1348.40051923512	6125.5	6386.5	7364.5	8177.5	9169	10715.25	11423.5
10389.7534456355	1675.6404580125	7263	7795.5	9226.25	10286.5	11398	13326	14089.125
7267.75344563553	1262.82254151099	5028.5	5332.25	6405.25	7169	8046.5	9517.5	9838
5646.05513016845	1019.64327998289	3797.875	4079.75	4943.75	5551.5	6295	7390.25	7804.25
14161.2840735069	2101.74837957382	10414.625	10995.25	12593.5	14072	15522.25	17916.25	18709.375
8303.84456355283	1460.73688732157	5690.625	6094.25	7299.25	8195	9190.75	10853.25	11495.75
