"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1985"	1264.84	239.11	863	915.95	1096	1244.5	1412	1696.05	1795
"1986"	8089.63	639.89	6935.98	7110	7642	8053	8500.25	9189	9426
"1987"	12079.05	833.29	10562	10795	11495	12033	12609.25	13521.05	13826
"1988"	11480.86	1197.17	9323.95	9631.95	10642	11417.5	12239	13551.05	14019.12
"1989"	9526.24	688.07	8229.98	8427	9053	9509	9975	10685.05	10913.05
"1990"	5815.08	577.43	4789	4930.95	5404	5785	6181	6805	7039.02
"1991"	6840.43	807.49	5431.98	5622	6275	6792	7338.25	8226.05	8575.05
"1992"	4791.42	868.85	3286.98	3503	4179	4731	5319	6323	6704
"1993"	4507.95	643.93	3397.98	3555	4053	4463	4898	5641.1	5923
"1994"	11091.04	1149.2	8948.92	9266.9	10297.75	11043.5	11829	13057	13455.07
"1995"	5010.86	598.78	3964	4112.95	4597	4968	5382.25	6055	6301.07
"1996"	6914.38	1100.48	5057.97	5294	6139.75	6817	7583.25	8842.15	9355.1
"1997"	7298	1092.95	5409.97	5675.9	6526	7205	7978	9247	9711.02
"1998"	6715.68	1013.81	4960	5201	6008.75	6634	7327.25	8485.05	8914.05
"1999"	9664.59	1176.33	7514.98	7835.95	8849.75	9610	10417	11672	12121.02
"2000"	10771.1	1160.24	8677	8958.95	9958	10719.5	11524	12786.05	13157.02
"2001"	11916.98	1484.09	9271.98	9619	10900	11815	12830	14501.2	15131.05
"2002"	15089.46	1808.72	11747.92	12210.95	13824	15031	16274	18199.2	18789.02
"2003"	6895.47	806.14	5397	5639.95	6337	6861	7422	8272	8564.05
"2004"	4420.5	587.64	3363	3500.95	4013	4393	4794	5429	5656.02
"2005"	9123.01	1072.55	7194.98	7462.95	8368	9051	9806	11002.1	11391.05
"2006"	2418.9	545.71	1484	1610	2026.75	2368	2760	3397	3602.05
"2007"	3038.98	622.93	1960	2094	2596	2991	3441.25	4136.05	4385
"2008"	5031.09	959.95	3353.95	3566.95	4364	4947.5	5640	6726	7084
"2009"	2677.86	583.25	1682.95	1807	2268	2631	3036.25	3707.05	3954.05
"2010"	7224.15	1290.85	4982.97	5256.95	6321.75	7148	8041.25	9502	9958.1
"2011"	4627.35	896.32	3042.98	3258.95	3993.75	4562	5200.25	6188.05	6551.02
"2012"	15596.52	2352.33	11435.85	11994.9	13936	15442	17094.25	19673	20646.03
"2013"	4600.45	924.3	2962.95	3192.9	3953	4545.5	5182	6202	6565.02
"2014"	6721.08	1156.2	4642.83	4950.95	5916	6646	7432	8758.2	9211.15
"2015"	8046.65	1350.67	5683.9	6007.9	7100	7944	8895	10393	10983.05
"2016"	10041.88	1653.42	7153.92	7509.95	8864.75	9938.5	11093.25	12909.05	13515.07
"2017"	7176.43	1253.65	4960.9	5260	6296	7096	7967.25	9388.05	9898.05
"2018"	5452.04	982.78	3698.95	3948.95	4759.75	5396.5	6078.25	7151	7557.02
"2019"	13888.76	2128.04	10106.9	10618.9	12371	13751	15234.5	17544.55	18448.07
"2020"	8084.39	1405.05	5603.97	5951	7091	7997.5	8979	10524.15	11046.17
"2021"	33332.05	5073.24	24326.98	25579.85	29789.75	33060.5	36483	42164	44396.07
"2022"	8898.59	1667.98	5981.95	6392	7733	8796	9930	11832.1	12553.02
"2023"	7965.07	1512.55	5366	5706	6868	7843	8919	10611.3	11231.07
"2024"	3054.67	796.03	1743.97	1903.95	2485.75	2976.5	3531	4480.1	4839
