"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
NA	NA	NA	NA	NA	NA	NA	NA	NA
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
360.959413514662	262.582683669429	24	37	152	307	521	865	976.725
0	0	0	0	0	0	0	0	0
272.913833404165	182.826267734484	33	45	135	237	371	623	716
248.954313642159	166.364960909283	31	43	123	217	338	569	657.725
66.2475563110922	42.9895806887508	11	14	33	57	89	149	171
0	0	0	0	0	0	0	0	0
68.7359753506162	43.1961113723777	13	16	36	60	92	154	174
0	0	0	0	0	0	0	0	0
447.738844028899	210.425117839301	112	147.55	291.75	420	579	830	912
107.502018699533	70.8891785170329	16	21	54	94	145	244	283
50.1158096047599	34.638709016263	4	7	24	44	69	116.449999999999	135
185.484275393115	126.216040427517	17.275	27.55	91	161	255	426.449999999999	492
97.5999787505312	66.8538141330565	9	14	47	85	134	224	258
82.3105609859754	56.5652826453457	7	12	40	71	113	191	220
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
