"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1985"	0	0	0	0	0	0	0	0	0
"1986"	0	0	0	0	0	0	0	0	0
"1987"	0	0	0	0	0	0	0	0	0
"1988"	0	0	0	0	0	0	0	0	0
"1989"	0	0	0	0	0	0	0	0	0
"1990"	0	0	0	0	0	0	0	0	0
"1991"	0	0	0	0	0	0	0	0	0
"1992"	0	0	0	0	0	0	0	0	0
"1993"	0	0	0	0	0	0	0	0	0
"1994"	0	0	0	0	0	0	0	0	0
"1995"	0	0	0	0	0	0	0	0	0
"1996"	340.57	250.07	24	35	142	290	486	833	942
"1997"	0	0	0	0	0	0	0	0	0
"1998"	251.56	167.34	31	41	125	221	341	573	660
"1999"	229.51	151.53	30	39	115	201	312	520	603.02
"2000"	61.35	39.4	10	13	32	53	83	138	158
"2001"	0	0	0	0	0	0	0	0	0
"2002"	63.62	39.52	12	15	34	56	84	141	161
"2003"	0	0	0	0	0	0	0	0	0
"2004"	418.24	202.32	99	131	268	392	543	799	870.05
"2005"	99.45	64.68	15	20	51	87	134	224.05	258.02
"2006"	46.03	31.69	4	6	22	40	63	107	124
"2007"	171.05	115.61	16	23	84	151	234	391	454.02
"2008"	89.8	60.83	8	12	44	79	123	206	238
"2009"	75.88	51.69	7	10	37	66	104	175.05	203
"2010"	0	0	0	0	0	0	0	0	0
"2011"	0	0	0	0	0	0	0	0	0
"2012"	0	0	0	0	0	0	0	0	0
"2013"	0	0	0	0	0	0	0	0	0
"2014"	0	0	0	0	0	0	0	0	0
"2015"	0	0	0	0	0	0	0	0	0
"2016"	0	0	0	0	0	0	0	0	0
"2017"	0	0	0	0	0	0	0	0	0
"2018"	0	0	0	0	0	0	0	0	0
"2019"	0	0	0	0	0	0	0	0	0
"2020"	0	0	0	0	0	0	0	0	0
"2021"	0	0	0	0	0	0	0	0	0
"2022"	0	0	0	0	0	0	0	0	0
"2023"	0	0	0	0	0	0	0	0	0
"2024"	0	0	0	0	0	0	0	0	0
