"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
NA	NA	NA	NA	NA	NA	NA	NA	NA
1349.6516	258.103165380898	919	974	1168	1323	1502	1812	1929.025
1475.2935	278.794020493703	998	1062	1277	1451	1650	1966	2081.025
3382.7013	378.455025846717	2695.975	2793	3118	3363	3627	4038.05	4181.025
1433.60235	278.841881115823	967	1025	1236	1407	1603	1933	2056
1614.8849	277.755935076037	1118	1192	1422	1597	1787	2103	2206
684.3608	182.678717422282	389	426	555	664	790	1019	1098
5810.70395	804.063536738828	4405.95	4601.9	5253	5747	6299	7232.05	7586
4425.9624	890.514091777117	2881	3093	3806	4350	4968.25	6000	6369.025
3990.8039	702.690373374242	2785	2944	3502	3934	4414	5238.05	5539.025
3480.1277	607.464380718246	2437	2575	3055	3430	3852	4562	4823
3339.35655	577.617405828004	2355	2486	2933	3292	3692	4362	4621
6923.30175	1175.54999131727	4896	5186.95	6098	6831	7651	9004.05	9468.05
7661.0069	1134.63081590745	5681.975	5948	6861	7576	8356.25	9674.05	10181
6666.1984	1042.41653557929	4846.975	5098.95	5942	6591	7312.25	8500.05	8917.05
9715.1111	1211.75328753764	7522.975	7835.95	8875	9647	10496	11810.05	12258.025
10918.3016	1174.85464292781	8756	9077	10093	10871	11680	12937	13385.025
12375.10995	1547.12879827018	9643.95	10024.95	11283	12264	13351	15043.05	15689
15228.5721	1807.08365715835	11944.975	12432.95	13982	15136	16378	18346.05	19024.025
7147.23115	816.211978299359	5650.975	5872	6583	7112	7675	8539	8832
4020.2629	609.871016130793	2910	3069	3592	3991	4417	5062	5292
9471.14315	1100.00381339228	7478.975	7758	8700	9418	10175	11354.05	11770.025
2499.8623	561.569766252447	1536	1662	2103	2454.5	2848	3485	3720
3019.0061	677.616056213821	1857	2008	2540	2959	3433	4226	4511
5085.7588	980.329215718434	3357.975	3589	4401	5017.5	5694	6837.05	7201.025
2791.22705	614.661882387204	1724	1864.95	2362	2742	3170	3882.05	4144.025
7430.4661	1346.99297702505	5080	5392.95	6477	7325.5	8268	9820	10367
4850.11595	927.264476174967	3217.975	3430	4199	4787	5432.25	6468.05	6855.05
15759.2049	2357.20819520461	11476	12130	14125	15622	17244	19838.1	20725.05
4803.1754	944.204360468938	3169.975	3381	4133	4738	5386	6478	6849.05
6991.3002	1199.02956388686	4875.975	5176	6143	6904	7747	9116.05	9530
8362.68045	1386.21766436893	5906.975	6244	7388.75	8268	9231	10793.05	11346.05
10464.37155	1687.86821365174	7476	7917.95	9278	10348	11522	13427	14148.05
7250.95335	1255.40042097517	5044.95	5342.95	6367	7162.5	8052	9441.05	9934
5727.35805	1045.591448475	3889.975	4135	4998	5654	6372	7577	7972.12499999999
