""	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"
0	1419	1490	3842	1620	1363	686	5842	4438	3688	2452	3158	4921	7207	9048	9591	10386	14187	14415	6978	3498	9480	1837	4109	3944	2426	6685	4225	16590	4960	6932	8288	10180	7454	4970	13532	9214	38083	8559	7436	3686
0	1460	991	3454	1523	1447	524	5531	4172	4822	3870	3287	6602	9011	5739	8138	10824	12224	16081	7541	3674	8102	3059	2786	4558	2463	8235	4256	11995	5898	8669	7474	10827	7699	5204	13505	7029	35270	10971	7289	2700
0	1332	1364	3464	1286	1592	492	6093	2300	3069	2316	2441	6580	6812	5520	8906	10984	11087	16158	6361	3167	8436	3022	3496	5422	2903	7078	3927	13106	3794	5292	7596	8991	6346	4141	10687	9820	28386	8002	7872	2757
0	1106	1949	3633	1301	1545	770	4606	5710	4362	2736	1981	5587	7891	7180	7860	12283	11060	15751	7005	3506	9240	2697	2547	5518	3369	10068	4453	16753	4932	5365	8998	10540	7867	5724	14693	10719	39534	9987	9044	3299
0	1227	1286	3252	1201	1752	764	4509	4847	4616	3939	2504	5649	7885	6377	8411	12381	10322	15544	6701	3115	9510	2282	3428	4761	2702	9025	5988	13840	3797	6833	6978	9165	7107	3592	15820	9739	34477	7346	8931	2516
0	1105	1524	3708	1423	1592	546	5278	5273	5185	3857	2621	8385	8614	6753	9105	12492	11057	15907	7640	5138	9882	2305	2476	5537	3130	6297	4246	16721	5931	6437	5624	9449	6278	6333	12852	9131	37573	7877	8382	2747
0	1168	1536	2909	1578	1788	436	5808	5259	4207	3280	4149	5442	6152	9771	10495	11096	11788	12575	7530	3200	10733	2569	2694	4030	2919	5325	4353	15761	6113	6581	9419	9866	6110	4811	11078	8020	35497	10516	6559	2681
0	1647	1221	3552	1290	2179	911	4921	6315	2966	3221	3299	6732	7429	5789	10912	9965	13181	17002	7886	4011	10542	2438	3106	4762	3102	8219	4549	19001	5684	4247	10454	12797	8051	6022	13790	9447	33389	8795	8267	3421
0	1380	1377	2837	1410	1480	661	6011	4345	3527	3698	2981	5297	8152	5162	11788	9815	14385	15502	6711	3954	8585	1867	3138	5229	2973	6376	4705	13590	4693	5656	7458	12298	8406	5321	12449	7570	31120	10211	7441	3033
0	1318	1258	3197	1261	1847	603	5172	3254	3873	2736	3017	6505	6439	5368	9645	11696	10596	14189	6912	4466	6814	1032	2048	5014	2534	6152	5031	11986	4857	5517	4625	9919	5604	6059	10296	6256	26794	7090	7926	2505
0	1012	1523	3883	1270	1884	1003	4773	3972	2992	4156	3676	9208	11930	5764	8925	10593	13510	17073	6583	3297	8280	2124	2941	5834	2779	8016	4483	16758	5231	6100	5802	11059	6392	4451	14341	7870	26919	8901	8354	3455
0	1421	1322	3141	1269	1440	516	5406	4807	4810	3240	2959	6357	8438	5980	9897	10879	13385	11832	7125	3881	7298	2794	2763	4150	2367	5382	5814	15652	4631	4914	6484	14563	6074	5897	13993	6759	30177	8173	6313	1705
0	1284	1762	3729	1511	1263	638	5724	5930	3552	3972	2819	6254	6734	7827	10823	10569	12678	12944	7763	3009	9274	3015	2668	4998	3962	6838	6331	16586	6281	8918	9406	11426	7480	5693	18255	8372	29133	10464	7499	3264
0	1044	1133	3156	1481	1933	695	5648	3042	4197	2865	3440	7708	6939	6902	8829	10340	11774	13341	6652	5125	9947	1979	2506	5454	3186	7374	4877	15250	4121	7298	9103	10587	6784	5873	13308	9962	28468	7508	8542	3292
0	1398	1366	3323	1659	1582	631	6254	3842	3527	2990	3359	7590	7474	5711	9068	8616	11243	13173	7495	2762	8033	1810	1913	4406	2910	6994	5618	14129	3938	5799	6648	11314	5718	5558	12833	5838	33324	7905	7921	2269
0	1753	1047	3320	1017	1558	905	5327	4282	3268	2810	2321	7271	6818	6749	8410	10235	11002	15443	5337	3962	7085	2346	3738	4536	3759	5775	4101	15343	5552	7965	10251	11528	5875	6967	11957	6414	34230	7932	8385	3462
0	1166	1474	3002	1260	2174	563	5723	4383	4309	2845	3197	5800	7326	6051	10514	9254	12843	14944	6688	2963	9297	1907	1858	4970	1996	10001	4378	17195	4489	5678	5496	11793	7753	6546	12953	7913	35850	7831	8409	2891
0	1058	1543	3299	1551	1256	644	5240	6385	4061	2763	2994	7037	7565	5821	9669	9805	14086	15914	5674	4310	8266	2328	2336	4721	3424	5779	4468	14216	3874	8451	8659	9499	7979	6749	12429	7169	27472	6301	6317	3140
