"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1985"	1273.09	240.34	869	919	1104	1251	1420	1697	1809
"1986"	1412.87	264.32	960	1019	1228	1389	1577	1882	1990
"1987"	3357.65	378.09	2675	2771	3095	3336	3601	4007	4146.02
"1988"	1358.28	264	910.98	973	1170.75	1334	1516	1821	1947
"1989"	1589.08	273.32	1102	1171	1393	1574	1761	2066	2167.02
"1990"	628.29	163.29	360	392.95	513	610	726	921	993.02
"1991"	5593.26	787.4	4208	4396	5040	5541	6072	6984.05	7315.02
"1992"	4270.69	866.41	2763	2978	3665	4206	4800	5793	6179.02
"1993"	3749.61	652.44	2621.98	2776	3294	3697	4147	4887	5185
"1994"	3284.96	580.26	2284	2411	2875	3240	3640	4306.05	4548.02
"1995"	3147.65	547.65	2198	2327	2762	3106	3485	4120	4342.02
"1996"	6580.47	1128.46	4623	4910.95	5796	6490	7269	8574.15	9037.05
"1997"	7288.74	1090.89	5427.97	5689.95	6516	7190	7948.25	9238	9703.05
"1998"	6463.53	1014.03	4701	4935.85	5753	6394	7096	8244	8666.02
"1999"	9411.89	1169.37	7297	7600	8589	9358.5	10165	11422.05	11862.02
"2000"	10673.77	1171.98	8542.95	8836.95	9859	10612	11436	12685.1	13132
"2001"	11898.67	1489.91	9233.98	9624.9	10852	11820.5	12839	14506	15045.02
"2002"	14944.07	1829.27	11610.98	12089	13677	14865.5	16119	18082	18755.07
"2003"	6891.08	810.01	5392.98	5608	6329.75	6858	7421	8297	8587.02
"2004"	4013.72	620.56	2889.98	3056	3579	3979.5	4409	5084	5318.02
"2005"	9003.7	1056.52	7148	7393.95	8258	8936	9673	10853	11279.02
"2006"	2390.29	550.47	1472.97	1585.95	2005	2341	2719	3366	3600.02
"2007"	2882.67	639.16	1781.97	1926	2432	2829	3281	4008	4257.02
"2008"	4967.14	971.15	3271.98	3500	4294	4902.5	5569	6648	7042.02
"2009"	2598.16	577.3	1602	1737	2185	2555	2961	3599	3856
"2010"	7159.01	1305.71	4900	5213.95	6254	7068	7971.25	9426	9906.02
"2011"	4642.96	896.19	3074.98	3295	4035	4583	5192.25	6179.05	6551
"2012"	15408.85	2373.54	11300	11844.95	13773	15233	16888	19488.1	20373.05
"2013"	4583.48	927.18	2955.98	3181.95	3935.75	4523	5160	6208	6594.02
"2014"	6667.47	1177.84	4645	4924	5854	6585.5	7393.25	8699.05	9129.1
"2015"	7973.4	1335.48	5608.95	5953.95	7040	7902	8816.25	10259.15	10759.02
"2016"	9908.95	1661.88	6996	7413.95	8761	9807	10943.25	12770.1	13430.02
"2017"	7173.99	1283.99	4954.98	5285	6289	7086	7963	9348.05	9843.02
"2018"	5431.22	983.75	3701	3935	4746	5374.5	6047	7132.05	7561.02
"2019"	13734	2114.47	9981.92	10495	12276	13604	15054	17378.1	18192.07
"2020"	7990.24	1385.01	5553.95	5894	7037	7898	8846	10375.05	10932.02
"2021"	32521.83	5068.52	23911.62	25014.85	29027.75	32148.5	35593.75	41208.15	43268.22
"2022"	8679.22	1639.49	5857.95	6237.95	7520.75	8554	9693	11552.1	12188
"2023"	7863.84	1504.62	5279	5615.95	6800	7750	8797	10492.1	11136
