"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
NA	NA	NA	NA	NA	NA	NA	NA	NA
0	0	0	0	0	0	0	0	0
6606.17115257377	502.29298768265	5697	5828.45	6258	6581	6925	7471	7670
8432.12326319968	640.44750386833	7265	7436	7989	8399	8837	9538	9784.77499999999
9669.24188169909	1061.99826621964	7775.225	8050	8932	9602	10331	11522	11952
9105.06173084557	816.243138799172	7590	7813	8548	9075	9629	10503	10813.775
5197.38728331348	510.086820702657	4279	4411.45	4842	5169	5522	6083.55	6281
1203.50161439725	119.951432358159	984	1016	1120	1198	1280	1411	1455
545.188977107318	61.2069839618501	435	451	502	542	584	651	675
779	0	779	779	779	779	779	779	779
10410.1084292709	1545.73428682209	7716	8083	9321.25	10292	11370	13142	13781
2614.11085086675	380.077740031594	1921	2024	2353	2594	2854	3270	3417
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
