"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
NA	NA	NA	NA	NA	NA	NA	NA	NA
0	0	0	0	0	0	0	0	0
6742.77425	606.308546699111	5693	5851.8	6315	6683.5	7113.25	7836	8097.2
8778.14825	805.856836281782	7407.875	7584.95	8245.75	8694.5	9231	10219.1	10660.475
10206.5075	1251.87304566972	8080.925	8349.9	9341	10108	10920	12442	13022.025
8015.0865	633.732559726155	6834.975	7014.75	7587	7988	8428	9074	9353.025
5248.64275	559.941357825521	4277	4425.7	4855	5198.5	5582	6223.35	6491.025
1270.29425	144.761910285838	1021	1056.95	1172	1259.5	1351	1522	1604.1
552.5085	67.1524816495856	441	454	504	546	593	673	700
779	0	779	779	779	779	779	779	779
7883.22775	955.037331184455	6085.825	6347.95	7238	7857	8505	9509.3	9884.1
1888.17125	185.865936793304	1490.975	1561.95	1766	1898	2019	2176	2235
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
