"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
5351.03757602085	446.478917296892	4547.35	4665.35	5043	5331	5634	6125.65	6285.475
7424.56733275413	642.107874131512	6257	6423	6983	7395	7827	8523	8769.65
8773.27617289314	1111.3414690514	6776.35	7083.7	8011	8698.5	9460	10704.3	11157.825
3109.10262814944	343.079170226294	2498	2584	2871	3086	3327	3703.65	3849.825
3534.27671589922	385.241976084784	2835	2949	3266.75	3512	3777	4206.65	4364.825
3282.64802345786	595.961204779524	2245	2386	2865	3233	3652.25	4326.95	4555.825
2689.59155082537	623.373247931644	1628.175	1779.35	2256.75	2626	3066	3791	4080.65
1944.48501303215	427.513909122106	1224	1319	1647	1905	2203	2702	2884.825
1850.5159643788	409.232990160913	1167	1253	1559.75	1809	2095	2577.65	2745.825
1689.45981754996	383.342132746766	1043	1123.35	1419	1654.5	1924	2378.65	2527.65
3905.89074717637	783.919185682337	2582.175	2772.35	3354.75	3833	4371	5299.3	5662
4202.57189400521	813.730942212018	2852.525	3024.35	3641	4116.5	4680.25	5643	6024
4196.68288444831	784.451833895926	2864.525	3049	3647	4118.5	4667	5584	5949.65
5707.77486967854	853.690493762412	4169.175	4386.7	5109	5662	6255.25	7185.65	7506.475
6152.18125543006	873.514253537596	4565.35	4782	5546	6112.5	6708.25	7653.65	7992
7542.28692441355	1103.56583514917	5567.525	5843.7	6758	7485.5	8238	9467	9875.65
10445.8447002606	1458.17988549574	7805.35	8197	9439.75	10363	11383	12979	13496
4064.82721546481	591.00450706442	3001	3159	3645	4036.5	4447.25	5069	5303.475
2712.95243266725	431.324668189876	1951	2049.35	2407.75	2691	2984	3469	3645.65
6020.65443092963	819.68137854469	4607.175	4801	5437	5952.5	6537	7467.95	7782.65
1484.84958731538	371.395806203695	865.175	938	1220	1450	1713	2144.65	2293.825
1640.1343397046	391.098877536897	979	1066.7	1359.75	1606.5	1883	2343	2512
2455.37043874891	542.068496158338	1524	1652.35	2074	2419	2793	3398	3646
1538.94884882711	378.569402826429	888.175	976	1269	1507	1771	2217	2371.65
4849.92441355343	987.076460290175	3145.175	3378.35	4164	4760.5	5444	6611.6	7028.77499999999
2235.6263032146	508.445078723913	1368.175	1477	1872	2189.5	2552	3147	3346.65
8866.68994352737	1591.43994628021	6159	6474.35	7732	8749	9862	11677.65	12303.3
2325.12489139878	527.317865883272	1430.35	1537.7	1960	2278	2646	3264.65	3500.65
3856.09687228497	775.211680456105	2507.175	2685	3316	3792	4339	5236.65	5546
4282.24522154648	833.540442187291	2819	3024.7	3697	4219	4808.25	5737.3	6092.475
6346.89769765421	1214.11366873601	4241	4509.7	5484	6256	7116.25	8456.65	8946.825
4250.25358384014	833.643747131011	2792.175	2995	3674	4189	4764.25	5700	6074.94999999999
2901.4880538662	620.670699627873	1839.175	1976	2451	2854	3290.25	3989.65	4251.65
8923.93331885317	1562.86231996183	6243.175	6584.35	7828	8796	9889	11692.25	12377.825
5343.57982189401	1028.86426005401	3534.175	3790.35	4617	5281	5989	7148	7606
19692.4927237185	3451.64889482361	13752	14577.35	17283	19438.5	21770	25759.65	27345.125
5472.8909643788	1194.82471417018	3430.175	3697.35	4627	5382	6209	7588.95	8105.24999999999
