"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
145.34605	106.350392193416	10	16	60	123	210	350	396
0	0	0	0	0	0	0	0	0
117.8521	78.7418499880272	15	20	58	103	160	270.049999999999	311
100.2576	66.369287975383	14	18	50	88	136	228	263
66.34705	43.0099558138863	10	14	34	58	90	150	172
0	0	0	0	0	0	0	0	0
36.19255	21.7564758568474	8	10	20	32	47	79	90.0249999999978
0	0	0	0	0	0	0	0	0
441.0982	211.714010159613	104	138	281	417	576	830	915
94.4964	62.3198834677487	13	17	47	83	128	215	248
50.05905	34.5996751426007	4	6	24	44	69	117	135
77.09985	52.9667438472027	6	10	37	67	106	178	207
61.1039	42.0645489230992	5	8	29	53	84	142	165
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
