"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
3396.75134312558	603.485216139478	2352	2494.45	2976	3349	3765	4462	4723
2773.96325261347	640.135689254277	1696	1837	2323	2712	3162	3918	4191
2051.72589651978	445.631894019775	1302	1398	1737	2011	2319	2845	3042
1942.75973269816	421.989268866366	1224	1322	1647	1904	2196	2694.55	2879
1785.40186581977	404.867636228706	1097	1189	1501	1748	2028	2505	2685
3864.77847029244	796.884225465045	2512	2690	3306	3790	4344	5285.55	5620.77499999999
4370.6768558952	824.053026880181	2978	3164	3793	4293	4864	5848	6206
4136.15937541352	765.276384789281	2824	3000.45	3595	4075	4603	5490	5810
5675.12909884875	852.918198698816	4141	4360	5080	5626	6216	7153	7495
6161.6035596136	860.792989049164	4599	4821.45	5564	6120	6714	7644	7964.77499999999
7621.63429932513	1104.63967439442	5651	5924	6850	7553	8325	9557	9973
10463.8919809448	1422.60463059479	7891	8257	9477	10394	11366	12925.55	13485.775
4127.29880905121	587.930562977369	3066	3220	3717	4097	4502	5143	5365.77499999999
2265.45070795289	439.898705811162	1483	1595	1958	2236	2543	3036	3209
6058.98873891756	838.8412790194	4578	4781	5464	6000	6598	7526	7857.77499999999
1478.70829694323	376.822535063034	851.225	930	1209.25	1443	1706	2152	2319
1630.06511843324	403.431309988094	947	1038	1344	1593	1876	2347	2527
2472.27260817785	551.547699609568	1524	1649	2082	2428	2813	3455	3683
1611.48218869922	396.510388310025	941	1028	1330	1573	1853	2321	2487
4883.27087468572	972.954260787529	3191.225	3422	4195	4811	5488	6598	6997
2324.65514092894	515.581302715974	1432	1555	1963	2281	2641	3234.55	3446
8760.13432579066	1620.65268387434	5965	6342	7619	8630	9743	11636	12319
2418.7179171629	536.308724048849	1498	1619	2040	2373	2748	3369	3597.77499999999
3945.33380971285	792.526675245622	2577	2762	3385	3886	4433	5337	5674
4410.93252613471	853.029216712559	2917	3127.45	3809.25	4348	4942	5912	6254.77499999999
6384.70701336509	1214.09809072705	4277.225	4563	5528	6286	7133.75	8536	9047
4296.61582638613	852.872252091477	2820.225	3019.45	3697	4226	4825	5801	6140
