"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
1264.8438	239.105742208663	863	915.95	1096	1244.5	1412	1696.05	1795
1401.1115	265.812900209041	949.975	1007.95	1216	1376	1562	1880	1993.05
3369.548	381.656764494734	2675.975	2784	3106	3351	3609	4042	4180.025
1350.8649	263.410696380171	900.975	960	1163	1331	1514	1809.05	1916.025
1581.5047	274.955522642942	1099	1169	1387	1562	1757	2065	2178.025
615.9071	161.179019531773	356	385	502	597	710	905.049999999999	982
1813.1383	285.292508760159	1316	1383	1612	1793.5	1991	2318	2424.025
1355.5644	336.819817723959	815	877	1116	1318	1552	1961	2124.025
1061.6561	234.384096353085	683	729	896	1036	1197	1490	1601
919.4602	185.208964286303	612	649	788	902	1029	1251	1334
1006.138	195.31052858527	681	720	868	987	1122	1358.05	1443.025
1906.865	322.464907139728	1367.975	1436.95	1677	1878	2097	2485.05	2624.025
2042.9892	343.54811106135	1454	1531	1802	2012	2255	2637	2800.025
1690.0763	315.205739706853	1161.975	1232	1468	1660	1884.25	2253	2393.025
2918.3629	457.336784325315	2141.975	2243	2597	2872	3198	3733.05	3924.025
3299.1062	434.198150992139	2531.975	2644	2997	3266	3571	4053.05	4221
2838.9904	511.612356993283	2021.975	2129	2478	2775	3122.25	3792.05	4022.025
4107.7983	620.036264353966	3023.975	3171	3677	4061	4504	5195	5442.1
1786.2099	288.293977016011	1301.95	1367	1582	1756	1966	2297	2419.1
957.151	166.306823657238	669	708	840	943	1060	1252	1320
2481.9484	364.823695735813	1845	1933	2225	2452	2705	3130.1	3283.05
644.8011	187.437058779448	342.975	380	512	621	753.25	984	1071
901.6886	247.842484291418	508	556	725	871	1043.25	1355.05	1482
1260.4434	311.491797179976	753.975	812	1036	1225	1450	1826	1967.025
866.0748	242.177883006813	485	527.95	694	836	1003.25	1310.05	1418.025
1786.84	421.143429699239	1077.975	1171	1491	1748	2037	2533	2711.025
1186.6634	305.743943580807	688	745	966.75	1154	1367	1745	1878
2901.9182	594.379222361244	1888.95	2022	2480	2857	3273	3949	4189
1257.7566	331.410974893512	717	785	1021	1221	1451	1857.05	2013.025
1680.8276	390.768763466184	1015	1104	1404	1646	1916	2380.05	2558
2109.2344	490.152047593006	1303.975	1409.95	1763.75	2057	2399.25	2985.1	3211.05
2561.8426	570.76081944764	1576	1718	2157	2509	2912	3583.05	3828
1763.5546	401.222533478589	1086.975	1166	1477	1726	2016	2477.1	2638
1441.5493	353.931493540377	858.975	930	1190	1404	1654	2081.05	2242.075
3333.0788	700.619831438834	2110.975	2292	2839	3273	3770	4579.05	4859.05
1935.1306	447.462804308653	1180	1282	1615	1894	2204	2723.1	2931.075
6649.4529	1361.91871733994	4329.95	4634.95	5677.5	6528	7480	9086	9679.25
1690.5827	405.641857421493	1019	1108	1401	1650	1930	2416	2604.025
1657.627	397.778082618061	993	1078.95	1376	1619	1895	2366	2513.025
496.4336	157.106132995318	248	278	383	477	589	779	858
