"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
1343.80182	256.528759332701	912	970	1165	1320	1494	1801	1918
1481.44606	282.672493895767	1000	1064	1283	1454	1654	1984	2109
3396.30326	382.337401742424	2703	2800	3132	3378	3637	4058	4200
1439.3839	283.011742572139	963	1026	1239	1413	1611	1945	2071.025
1620.45118	278.730337043931	1126	1195	1426	1602.5	1795	2106	2216
672.7173	176.361161727568	386	419	548	653	776	990	1072
1899.09574	283.099529495767	1403	1474	1701	1878	2072	2398	2515.025
1493.26172	341.388576882488	929	1000	1251	1459	1692	2108	2261
1154.76386	243.868871278046	757.975	808	984	1128	1295	1597	1708
1000.70894	194.131665542095	671	715	864	983	1118	1350	1433.025
1078.1715	200.203196763063	741	785	936	1059	1200	1437	1519
1886.17012	345.057758696022	1293	1374	1646	1856	2096	2497	2647
2208.0255	361.269668039279	1592	1671	1951	2177	2427	2855	3010
1806.63982	339.48379754466	1224	1301	1567	1779	2017	2405	2557.025
2982.54634	450.591311615311	2198	2306	2668	2945	3259	3775	3970
3424.03486	431.226061878349	2663	2766	3121	3396	3696	4172	4349
3253.44622	585.843318606256	2288	2405	2834.75	3193	3602	4314	4586.025
4487.60932	648.245144713395	3337	3497	4033	4447	4895	5615	5874
1953.6022	292.409850630198	1439	1509	1747	1934	2139	2464	2587
1026.52436	171.398167765086	724	766	906	1015	1134	1328	1397
2808.1818	397.163972904375	2111	2207	2529	2779	3058	3505	3663
730.5404	195.600370239774	411	450	591	709	846	1085.05	1174
898.4108	248.664690790488	498	547	721	870	1043	1347	1466
1323.41102	313.193928886403	802	868.95	1102	1292	1510	1886	2029
859.30964	238.909183823127	473	521	690	833	997	1288	1401
2050.89336	447.646876346109	1284	1382	1734	2016	2327	2843	3024
1268.6568	301.270330517296	766	830	1054	1238	1450	1808	1945
3319.96148	647.123839973073	2206	2351	2865.75	3266	3718	4461	4728
1336.24532	324.306488421163	796	866	1107	1302	1528	1917.05	2067
1857.34256	399.901167029448	1175	1268	1576	1821	2099	2565	2736
2248.45336	473.020869137465	1441	1546	1914	2209	2535	3087	3291
2847.93002	593.777612107304	1827.975	1967	2430	2798	3208	3910	4144
