"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
1329.58114	107.555454068189	1140	1166	1255	1322	1397	1516	1559
1277.46034	94.3704226048482	1108	1132	1211	1272	1338	1441	1477
1356.8519	112.515447121303	1159	1186	1279	1349	1427	1552	1601
1235.3729	96.4505706558629	1059.975	1086	1168	1230	1297	1402	1438.025
1165.01032	101.42314127737	983	1009	1094	1159	1229	1340	1380
537.06778	197.108730052479	242	275	399	509	641	894	1000
190.8497	85.9818076533341	63	76	129	178	239	349	394
784.9791	233.579366232543	409	453	619	758	921	1208	1316
546.83896	189.718728147842	261	294	414	519	649	890	998
491.40988	164.254640452329	242	270	377	468	579	787	875
1202.74382	376.258629459754	645	704	937	1143	1403	1902	2101
1101.4193	287.086874212279	631	691	900	1070	1269	1617	1743
816.27812	211.639937626455	466	511	667	794	941	1198	1293
1076.82156	297.955833963268	595	657	869	1045	1247	1604.05	1743
1384.90284	371.214409314466	797	871	1128	1339	1587	2046	2235.025
1534.33088	353.747028620214	940	1017	1288	1502	1743	2164	2322.025
446.63552	189.00793526813	180	206	314	414	542	803	911
1062.10942	245.555748700327	636	694	889	1044	1211	1499	1603
747.07492	199.767801435775	411	452	605	728	869	1105	1190
582.53828	153.008042023483	327	359	473	568	675	856	924
279.77478	125.418469978723	93	113	190	260	348	512	579
515.06268	204.05765171079	205	238	368	485	630	891	995
1341.75458	469.791772762379	605	688	1005	1282	1611	2193.05	2424.025
278.2949	126.05311468482	92	111	188	259	347	513	577.025000000001
450.9123	196.326434313075	152	183	309	423	561	815	913
1255.63338	446.151999526965	555	639	939	1199	1509	2075	2292
3656.71202	1062.11623771863	1962	2163	2902	3527	4265	5594	6105.025
1042.19144	424.760174751409	395	467	737	982	1278	1822	2045
1151.29626	401.541377692975	513	587	865	1102	1381	1885	2073
1661.45558	534.633488219919	797	906	1277	1600	1978	2631	2884
1083.19846	377.322380885644	477	549	811	1040	1304	1770	1940
