"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
17.5712098009188	13.0913641064422	2	3	7	14	25	43	50
0	0	0	0	0	0	0	0	0
63.3889739663093	44.1212227821188	6	8.25	31	55	87	147.75	172.375
24.5704441041348	17.09083281741	3	4	12	21	33	56.75	66
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
31.8583460949464	22.1198891800825	3	4	15	28	44	74.75	87
0	0	0	0	0	0	0	0	0
10.3675344563553	6.71930845402594	1	2	6	9	14	23	27
12.801684532925	8.64026199998435	2	3	6	11	17	29	34
0	0	0	0	0	0	0	0	0
36.7090352220521	25.9480092236384	2	4.25	17	32	50	88	101.375
11.6646248085758	8.83675299958071	0	1	5	10	16	29	34
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
