"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
540.034317892053	195.973943194366	242	278	406	513	643	881	990.725
195.492668933277	88.3193655305463	64	79	132	181	244	356.449999999999	406
781.626965575861	229.2832514628	411	457.55	617.75	757	915	1191	1294
543.601466213345	186.575378073585	261	296	414	516.5	645	884.449999999999	979.725
487.871440713982	159.242503587489	243	272	374	467	576	775	866
1175.58563535912	364.503454369876	625	688	919	1122	1374	1832	2051.45
1099.79844878878	285.583380550335	630	692	898	1071	1268.25	1610	1736.725
751.754674883128	209.853192999999	405	447.55	602	729.5	878	1125	1224.725
1062.03814279643	301.108474809031	576	640	851	1026	1235	1595	1739
1376.40968975776	355.218749247335	799	879.55	1127	1338	1573	2017	2178
1526.43051423714	344.656228430615	950	1020	1289	1495	1729	2144	2284.45
430.621865703357	197.995899130979	155	183	290	396	532	793.449999999999	901.175000000001
1062.63025924352	242.996616820097	647	704	890	1044	1212	1492	1586
722.012749681258	192.188210909254	396	439	584	706	843	1066	1138
573.467169570761	154.02437299294	317	349	464	556	670	847	906.725
276.396302592435	121.489302407414	91	112.55	191	257	344	495.449999999999	557.725
469.344985125372	195.998951732275	174	204	327	441	580	831	929
1300.59647258819	452.739581219977	585	665	974	1246	1565.25	2122.45	2324.725
279.943157671058	122.47331699938	97	115	191	263	349	501	569
447.451763705907	192.548441866656	152	183	307	423	554	805.449999999999	903.725
1208.81427964301	411.959940270554	556.275	631	910	1163	1456	1958	2152
3614.01614959626	1017.50456105913	1945	2149	2889	3509.5	4206.25	5439.14999999999	5928.725
1030.38174670633	415.85610186545	396	471.55	732	968	1261	1813.45	2008.175
1135.71302592435	380.674924215074	518	593	862	1094	1359	1828	1998.175
1637.00212494688	521.670004360949	781.275	889.55	1268	1581	1939	2586	2794.725
1076.70771355716	363.633742324619	483	561	818	1035	1289	1736	1898
1059.06704207395	388.507078913905	449.275	524	779	1006.5	1285	1780.45	1958.725
1109.63546536337	380.591146079477	508	578	839	1063	1326	1793.9	1995.725
1473.1374840629	491.909474444544	683.275	772.55	1117	1419	1767.25	2374.45	2587.725
684.45016999575	257.620487852411	272	320	498	657	834	1159	1282
