"Site";"Nat";"Comp";"Res";"Y";"Z";"S";"H"
1;1;NA;NA;2;3;362;1
2;2;NA;NA;2;3;408;1
3;3;NA;NA;2;3;230;1
4;4;NA;NA;2;3;1281;1
5;5;NA;NA;2;3;449;1
6;6;NA;NA;2;3;674;1
7;7;NA;NA;2;3;378;2
8;8;NA;NA;2;3;118;2
9;9;NA;NA;2;3;340;2
10;10;NA;NA;2;3;706;2
11;11;NA;NA;3;3;362;1
12;12;NA;NA;3;3;408;1
13;13;NA;NA;3;3;230;1
14;14;NA;NA;3;3;1462;1
15;15;NA;NA;3;3;449;1
16;16;NA;NA;3;3;574;1
17;17;NA;NA;3;3;378;2
18;18;NA;NA;3;3;118;2
19;19;NA;NA;3;3;340;2
20;20;NA;NA;3;3;706;2
21;21;NA;NA;4;3;362;1
22;22;NA;NA;4;3;408;1
23;23;NA;NA;4;3;230;1
24;24;NA;NA;4;3;1462;1
25;25;NA;NA;4;3;449;1
26;26;NA;NA;4;3;574;1
27;27;NA;NA;4;3;232;2
28;28;NA;NA;4;3;118;2
29;29;NA;NA;4;3;340;2
30;30;NA;NA;4;3;706;2
31;31;NA;NA;5;3;362;1
32;32;NA;NA;5;3;247;1
33;33;NA;NA;5;3;310;1
34;34;NA;NA;5;3;1462;1
35;35;NA;NA;5;3;449;1
36;36;NA;NA;5;3;574;1
37;37;NA;NA;5;3;378;2
38;38;NA;NA;5;3;118;2
39;39;NA;NA;5;3;677;2
40;40;NA;NA;5;3;706;2
41;41;NA;NA;6;3;362;1
42;42;NA;NA;6;3;247;1
43;43;NA;NA;6;3;271.5;1
44;44;NA;NA;6;3;1462;1
45;45;NA;NA;6;3;574;1
46;46;NA;NA;6;3;232;2
47;47;NA;NA;6;3;118;2
48;48;NA;NA;6;3;519.9;2
49;49;NA;NA;6;3;706;2
50;50;NA;NA;7;3;362;1
51;51;NA;NA;7;3;247;1
52;52;NA;NA;7;3;271.5;1
53;53;NA;NA;7;3;2092;1
54;54;NA;NA;7;3;574;1
55;55;NA;NA;7;3;378;2
56;56;NA;NA;7;3;118;2
57;57;NA;NA;7;3;298.5;2
58;58;NA;NA;7;3;706;2
59;59;NA;NA;8;3;362;1
60;60;NA;NA;8;3;408;1
61;61;NA;NA;8;3;198;1
62;62;NA;NA;8;3;1462;1
63;63;NA;NA;8;3;574;1
64;64;NA;NA;8;3;232;2
65;65;NA;NA;8;3;118;2
66;66;NA;NA;8;3;165;2
67;67;NA;NA;8;3;706;2
68;68;NA;NA;9;3;1462;1
69;69;NA;NA;9;3;574;1
70;70;NA;NA;9;3;706;2
71;71;NA;NA;10;3;408;1
72;72;NA;NA;10;3;395;1
73;73;NA;NA;10;3;1462;1
74;74;NA;NA;10;3;574;1
75;75;NA;NA;10;3;279;2
76;76;NA;NA;10;3;95;2
77;77;NA;NA;10;3;706;2
78;78;NA;NA;11;3;362;1
79;79;NA;NA;11;3;408;1
80;80;NA;NA;11;3;230;1
81;81;NA;NA;11;3;1462;1
82;82;NA;NA;11;3;574;1
83;83;NA;NA;11;3;232;2
84;84;NA;NA;11;3;118;2
85;85;NA;NA;11;3;260;2
86;86;NA;NA;11;3;706;2
87;87;NA;NA;12;3;362;1
88;88;NA;NA;12;3;408;1
89;89;NA;NA;12;3;230;1
90;90;NA;NA;12;3;1462;1
91;91;NA;NA;12;3;574;1
92;92;NA;NA;12;3;232;2
93;93;NA;NA;12;3;118;2
94;94;NA;NA;12;3;260;2
95;95;NA;NA;12;3;706;2
96;96;NA;NA;14;3;362;1
97;97;NA;NA;14;3;209.13;1
98;98;NA;NA;14;3;1462;1
99;99;NA;NA;14;3;574;1
100;100;NA;NA;14;3;110;1
101;101;NA;NA;14;3;232;2
102;102;NA;NA;14;3;185.87;2
103;103;NA;NA;14;3;706;2
104;104;NA;NA;17;3;362;1
105;105;NA;NA;17;3;120;1
106;106;NA;NA;17;3;209.13;1
107;107;NA;NA;17;3;1462;1
108;108;NA;NA;17;3;587;1
109;109;NA;NA;17;3;528;2
110;110;NA;NA;17;3;185.87;2
111;111;NA;NA;17;3;706;2
112;112;NA;NA;17;3;348;2
113;113;NA;NA;18;3;362;1
114;114;NA;NA;18;3;181;1
115;115;NA;NA;18;3;335.13;1
116;116;NA;NA;18;3;2092;1
117;117;NA;NA;18;3;382.5;1
118;118;NA;NA;18;3;232;2
119;119;NA;NA;18;3;39;2
120;120;NA;NA;18;3;677;2
121;121;NA;NA;18;3;706;2
122;122;NA;NA;18;3;191.3;2
123;123;NA;NA;19;3;362;1
124;124;NA;NA;19;3;160;1
125;125;NA;NA;19;3;198;1
126;126;NA;NA;19;3;639.6;1
127;127;NA;NA;19;3;574;1
128;128;NA;NA;19;3;674;2
129;129;NA;NA;19;3;60;2
130;130;NA;NA;19;3;165;2
131;131;NA;NA;19;3;706;2
132;132;NA;NA;20;3;362;1
133;133;NA;NA;20;3;1055;1
134;134;NA;NA;20;3;587;1
135;135;NA;NA;20;3;674;2
136;136;NA;NA;20;3;39;2
137;137;NA;NA;20;3;677;2
138;138;NA;NA;20;3;706;2
139;139;NA;NA;20;3;348;2
140;140;NA;NA;21;3;362;1
141;141;NA;NA;21;3;220;1
142;142;NA;NA;21;3;484.8;1
143;143;NA;NA;21;3;674;2
144;144;NA;NA;21;3;677;2
145;145;NA;NA;21;3;706;2
146;146;NA;NA;21;3;89.2;2
147;147;NA;NA;22;3;362;1
148;148;NA;NA;22;3;1055;1
149;149;NA;NA;22;3;587;1
150;150;NA;NA;22;3;232;2
151;151;NA;NA;22;3;39;2
152;152;NA;NA;22;3;697.87;2
153;153;NA;NA;22;3;706;2
154;154;NA;NA;22;3;174;2
155;155;NA;NA;8;4;523;1
156;156;NA;NA;8;4;1138;1
157;157;NA;NA;8;4;465;1
158;158;NA;NA;8;4;911;1
159;159;NA;NA;8;4;1232;1
160;160;NA;NA;8;4;858;1
161;161;NA;NA;8;4;195;2
162;162;NA;NA;8;4;366;2
163;163;NA;NA;8;4;1191;2
164;164;NA;NA;9;4;523;1
165;165;NA;NA;9;4;1138;1
166;166;NA;NA;9;4;465;1
167;167;NA;NA;9;4;858;1
168;168;NA;NA;9;4;195;2
169;169;NA;NA;9;4;366;2
170;170;NA;NA;10;4;523;1
171;171;NA;NA;10;4;1138;1
172;172;NA;NA;10;4;465;1
173;173;NA;NA;10;4;911;1
174;174;NA;NA;10;4;858;1
175;175;NA;NA;10;4;195;2
176;176;NA;NA;10;4;528;2
177;177;NA;NA;10;4;1191;2
178;178;NA;NA;11;4;523;1
179;179;NA;NA;11;4;1138;1
180;180;NA;NA;11;4;465;1
181;181;NA;NA;11;4;911;1
182;182;NA;NA;11;4;858;1
183;183;NA;NA;11;4;195;2
184;184;NA;NA;11;4;531;2
185;185;NA;NA;11;4;2066;2
186;186;NA;NA;12;4;523;1
187;187;NA;NA;12;4;1138;1
188;188;NA;NA;12;4;465;1
189;189;NA;NA;12;4;364;1
190;190;NA;NA;12;4;858;1
191;191;NA;NA;12;4;195;2
192;192;NA;NA;12;4;531;2
193;193;NA;NA;12;4;1738;2
194;194;NA;NA;14;4;523;1
195;195;NA;NA;14;4;1138;1
196;196;NA;NA;14;4;465;1
197;197;NA;NA;14;4;911;1
198;198;NA;NA;14;4;858;1
199;199;NA;NA;14;4;364;2
200;200;NA;NA;14;4;531;2
201;201;NA;NA;14;4;2066;2
202;202;NA;NA;18;4;523;1
203;203;NA;NA;18;4;886;1
204;204;NA;NA;18;4;353.6;1
205;205;NA;NA;18;4;334;1
206;206;NA;NA;18;4;858;1
207;207;NA;NA;18;4;195;2
208;208;NA;NA;18;4;531;2
209;209;NA;NA;18;4;111.4;2
210;210;NA;NA;18;4;2066;2
211;211;NA;NA;20;4;195;2
212;212;NA;NA;20;4;486.4;2
213;213;NA;NA;20;4;84.7;2
214;214;NA;NA;20;4;2066;2
215;215;NA;NA;8;5;710;1
216;216;NA;NA;8;5;596;1
217;217;NA;NA;8;5;762;2
218;218;NA;NA;9;5;710;1
219;219;NA;NA;9;5;596;1
220;220;NA;NA;9;5;762;2
221;221;NA;NA;10;5;710;1
222;222;NA;NA;10;5;518;1
223;223;NA;NA;10;5;123;2
224;224;NA;NA;10;5;840;2
225;225;NA;NA;11;5;931;1
226;226;NA;NA;11;5;483;1
227;227;NA;NA;11;5;123;2
228;228;NA;NA;11;5;875;2
229;229;NA;NA;12;5;1064;1
230;230;NA;NA;12;5;405;1
231;231;NA;NA;12;5;123;2
232;232;NA;NA;12;5;953;2
233;233;NA;NA;14;5;931;1
234;234;NA;NA;14;5;405;1
235;235;NA;NA;14;5;123;2
236;236;NA;NA;14;5;953;2
237;237;NA;NA;17;5;931;1
238;238;NA;NA;17;5;518;1
239;239;NA;NA;17;5;123;2
240;240;NA;NA;17;5;164;2
241;241;NA;NA;18;5;931;1
242;242;NA;NA;18;5;518;1
243;243;NA;NA;18;5;123;2
244;244;NA;NA;18;5;840;2
245;245;NA;NA;20;5;156;1
246;246;NA;NA;20;5;123;2
247;247;NA;NA;20;5;1202;2
248;NA;1;NA;13;3;362;1
249;NA;2;NA;13;3;247;1
